frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000703_lcam_front_lidar.ply,0.2,200,0.9,0.26282,0.29611,1,0.01516,1.0,0.00318
000752_lcam_front_lidar.ply,0.2,200,0.9,0.34063,0.29637,1,0.01319,1.0,0.00124
000090_lcam_front_lidar.ply,0.1,300,0.9,0.27811,0.28325,1,0.00044,0.99621,4e-05
000386_lcam_front_lidar.ply,0.3,50,0.9,0.2268,0.01435,1,0.09283,0.99756,0.13697
000386_lcam_front_lidar.ply,0.4,50,0.9,0.14942,0.2605,2,0.01033,0.98138,0.02098
000174_lcam_front_lidar.ply,0.15,200,0.9,0.19189,-0.00494,1,0.00841,0.99792,0.0067
000174_lcam_front_lidar.ply,0.15,300,0.9,0.14556,0.02472,2,0.08698,1.0,0.0944
000174_lcam_front_lidar.ply,0.15,800,0.9,0.09707,-0.00984,3,0.08687,1.0,0.09386
000174_lcam_front_lidar.ply,0.3,100,0.9,0.3559,-0.05692,4,0.0049,0.96485,0.02375
000174_lcam_front_lidar.ply,0.05,300,0.9,0.11818,0.28286,5,0.0,0.0,0.0
000066_lcam_front_lidar.ply,0.4,500,0.9,0.08793,0.27398,1,0.06497,0.99939,0.1475
000672_lcam_front_lidar.ply,0.2,500,0.9,0.08949,0.27123,1,0.03988,0.99724,0.11014
002662_lcam_front_lidar.ply,0.5,500,0.9,0.13377,0.47478,1,0.28226,0.99998,0.17058
000412_lcam_front_lidar.ply,0.25,500,0.9,0.23866,0.12627,1,0.18786,0.99999,0.10319
000412_lcam_front_lidar.ply,0.05,50,0.9,2.46297,-0.14374,2,0.00473,0.99618,0.0044
000412_lcam_front_lidar.ply,0.5,100,0.9,0.38799,0.13803,3,0.01283,0.99048,0.3087
002504_lcam_front_lidar.ply,0.4,500,0.9,0.1806,0.30182,1,0.03009,0.99995,0.01986
001649_lcam_front_lidar.ply,0.2,500,0.9,0.03321,0.54485,1,0.29004,0.08281,0.0665
000381_lcam_front_lidar.ply,0.05,800,0.9,0.11606,0.28511,1,0.0,0.0,0.0
000447_lcam_front_lidar.ply,0.3,50,0.9,0.21403,-0.00878,1,0.0613,0.99808,0.12018
000447_lcam_front_lidar.ply,0.3,800,0.9,0.06517,0.04974,2,0.09262,0.02484,0.06331
000447_lcam_front_lidar.ply,0.4,100,0.9,0.14148,-0.11725,3,0.06791,0.99353,0.2284
000447_lcam_front_lidar.ply,0.3,500,0.9,0.08337,0.09725,4,0.09262,0.02484,0.06331
000447_lcam_front_lidar.ply,0.25,300,0.9,0.1321,0.21492,5,0.05646,0.99663,0.13583
000163_lcam_front_lidar.ply,0.15,800,0.9,0.13046,0.31984,1,0.06435,0.99999,0.05918
000629_lcam_front_lidar.ply,0.5,500,0.9,0.11038,0.40398,1,0.20617,0.99997,0.17687
