frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000503_lcam_front_lidar.ply,0.1,800,0.93,0.09486,0.05682,1,0.10635,0.90368,0.07905
000503_lcam_front_lidar.ply,0.5,200,0.8,0.25418,0.18112,2,0.02442,0.88352,0.10874
002325_lcam_front_lidar.ply,0.2,50,0.85,0.6976,-0.00618,1,0.00538,0.9952,0.00312
002325_lcam_front_lidar.ply,0.5,300,0.93,0.13315,0.3079,2,0.22155,0.93135,0.36678
000314_lcam_front_lidar.ply,0.5,500,0.88,0.08722,0.06796,1,0.16568,0.12753,0.17544
000314_lcam_front_lidar.ply,0.05,50,0.93,0.43864,-0.08704,2,0.00412,0.96596,0.0064
000314_lcam_front_lidar.ply,0.4,200,0.93,0.13097,0.12165,3,0.05039,0.99605,0.4199
001383_lcam_front_lidar.ply,0.15,500,0.8,0.18499,0.2904,1,0.06948,0.99969,0.12121
000099_lcam_front_lidar.ply,0.2,500,0.95,0.07204,0.13807,1,0.15778,0.00353,0.01942
000099_lcam_front_lidar.ply,0.3,100,0.9,0.3334,0.04934,2,0.03207,0.90616,0.23921
000328_lcam_front_lidar.ply,0.5,100,0.9,0.14912,0.2881,1,0.00373,0.96987,0.00484
000207_lcam_front_lidar.ply,0.5,500,0.95,0.16611,0.35609,1,0.13713,0.99995,0.13458
001075_lcam_front_lidar.ply,0.5,200,0.93,0.27581,0.2832,1,0.01602,0.99995,0.02554
000073_lcam_front_lidar.ply,0.1,800,0.93,0.14928,-0.01064,1,0.04967,0.96658,0.10063
000073_lcam_front_lidar.ply,0.4,200,0.93,0.40746,-0.13865,2,0.03158,0.90623,0.32175
000073_lcam_front_lidar.ply,0.2,800,0.88,0.12624,0.43237,3,0.1248,0.97987,0.20481
000110_lcam_front_lidar.ply,0.15,100,0.88,0.20161,0.287,1,0.01506,0.99944,0.0261
000040_lcam_front_lidar.ply,0.05,500,0.93,0.14083,-0.01,1,0.0,0.0,0.0
000040_lcam_front_lidar.ply,0.1,500,0.95,0.20723,0.01408,2,0.0405,0.99996,0.03285
000040_lcam_front_lidar.ply,0.5,100,0.88,0.50494,-0.23441,3,0.02394,0.98319,0.44854
000040_lcam_front_lidar.ply,0.4,100,0.93,0.51889,0.18895,4,0.00399,0.99282,0.01073
000040_lcam_front_lidar.ply,0.25,300,0.8,0.19954,0.25307,5,0.03728,0.9999,0.14348
000028_lcam_front_lidar.ply,0.15,200,0.8,0.1199,0.00248,1,0.01325,0.99999,0.00152
000028_lcam_front_lidar.ply,0.15,800,0.85,0.05042,0.10511,2,0.14023,0.0001,0.02528
000028_lcam_front_lidar.ply,0.25,300,0.95,0.14955,0.15297,3,0.02806,1.0,0.05629
001589_lcam_front_lidar.ply,0.05,50,0.93,1.63584,0.27391,1,0.0011,0.97176,0.0005
000249_lcam_front_lidar.ply,0.05,50,0.9,2.82631,0.28628,1,0.00338,0.97017,0.00263
000452_lcam_front_lidar.ply,0.25,500,0.85,0.13279,0.08072,1,0.19078,0.99986,0.20013
000452_lcam_front_lidar.ply,0.5,50,0.85,0.80444,-0.11035,2,0.00474,0.80161,0.59885
001530_lcam_front_lidar.ply,0.3,500,0.8,0.24136,0.28111,1,0.00402,0.99983,0.00244
000083_lcam_front_lidar.ply,0.25,300,0.8,0.08746,0.06295,1,0.14974,0.98325,0.15359
000083_lcam_front_lidar.ply,0.15,300,0.95,0.08793,0.2642,2,0.09376,0.98606,0.08382
000888_lcam_front_lidar.ply,0.2,100,0.88,0.18564,0.01348,1,0.02454,1.0,0.00212
000888_lcam_front_lidar.ply,0.15,500,0.88,0.08834,0.08216,2,0.15366,0.00204,0.07603
000888_lcam_front_lidar.ply,0.5,50,0.93,0.32487,-0.11118,3,0.0153,1.0,0.00166
000888_lcam_front_lidar.ply,0.1,200,0.88,0.1236,0.09118,4,0.15366,0.00204,0.07603
000888_lcam_front_lidar.ply,0.1,50,0.9,0.42145,0.17883,5,0.0085,1.0,0.00233
000971_lcam_front_lidar.ply,0.3,50,0.9,3.40092,0.28143,1,0.00203,0.99624,0.00512
000509_lcam_front_lidar.ply,0.05,50,0.9,0.62246,0.00726,1,0.01743,1.0,0.00035
000509_lcam_front_lidar.ply,0.05,100,0.93,0.3359,0.28613,2,0.01738,1.0,0.00033
001190_lcam_front_lidar.ply,0.05,300,0.9,0.1881,0.27287,1,0.0,0.0,0.0
000476_lcam_front_lidar.ply,0.1,500,0.88,0.11248,0.28521,1,0.0,0.0,0.0
000153_lcam_front_lidar.ply,0.1,800,0.95,0.14738,0.34961,1,0.0978,0.03621,0.06461
000038_lcam_front_lidar.ply,0.2,300,0.8,0.18545,0.28395,1,0.0,0.0,0.0
000264_lcam_front_lidar.ply,0.1,300,0.85,0.32854,0.05696,1,0.06717,1.0,0.00042
000264_lcam_front_lidar.ply,0.05,500,0.95,0.18949,-0.07696,2,0.0,0.0,0.0
000264_lcam_front_lidar.ply,0.05,800,0.9,0.13809,-0.01,3,0.0,0.0,0.0
000264_lcam_front_lidar.ply,0.1,500,0.85,0.20197,0.05696,4,0.06717,1.0,0.00042
000264_lcam_front_lidar.ply,0.4,500,0.85,0.23299,0.22585,5,0.0087,0.99987,0.00302
002229_lcam_front_lidar.ply,0.4,800,0.95,0.08874,0.03535,1,0.19054,0.9345,0.29038
002229_lcam_front_lidar.ply,0.4,50,0.85,0.63592,-0.06037,2,0.01023,0.99803,0.0305
002229_lcam_front_lidar.ply,0.3,300,0.9,0.13128,0.11364,3,0.25178,0.93956,0.2663
002229_lcam_front_lidar.ply,0.4,100,0.85,0.50311,0.15182,4,0.01023,0.99803,0.0305
000430_lcam_front_lidar.ply,0.5,300,0.9,0.14441,0.2882,1,0.15319,0.99668,0.2973
001387_lcam_front_lidar.ply,0.15,200,0.95,0.21726,-0.02272,1,0.02649,0.93374,0.07843
001387_lcam_front_lidar.ply,0.1,50,0.88,1.3284,0.28948,2,0.00298,0.96769,0.01019
001685_lcam_front_lidar.ply,0.25,100,0.85,0.46487,-0.01566,1,0.00553,0.97809,0.02237
001685_lcam_front_lidar.ply,0.1,500,0.93,0.09507,-0.00434,2,0.0,0.0,0.0
001685_lcam_front_lidar.ply,0.2,800,0.85,0.07884,0.31285,3,0.12893,0.95966,0.19391
001673_lcam_front_lidar.ply,0.1,200,0.95,0.22208,0.28227,1,0.0244,0.80142,0.04994
000298_lcam_front_lidar.ply,0.5,300,0.95,0.08687,0.27506,1,0.09894,0.99668,0.21611
002802_lcam_front_lidar.ply,0.05,500,0.95,0.13497,-0.01,1,0.0,0.0,0.0
002802_lcam_front_lidar.ply,0.05,800,0.95,0.113,0.28129,2,0.0,0.0,0.0
000590_lcam_front_lidar.ply,0.3,100,0.95,0.18601,0.23741,1,0.02343,0.94156,0.13793
001782_lcam_front_lidar.ply,0.25,50,0.8,1.45838,-0.02368,1,0.0045,0.96765,0.03635
001782_lcam_front_lidar.ply,0.25,800,0.9,0.12978,-0.06043,2,0.01317,0.99809,0.15455
001782_lcam_front_lidar.ply,0.3,100,0.9,0.84713,0.02231,3,0.00578,0.96929,0.07515
001782_lcam_front_lidar.ply,0.4,800,0.95,0.16277,0.31326,4,0.00637,0.99984,0.00545
002489_lcam_front_lidar.ply,0.05,500,0.93,0.11031,-0.01,1,0.0,0.0,0.0
002489_lcam_front_lidar.ply,0.25,500,0.95,0.11497,0.33779,2,0.1203,0.99996,0.11915
000064_lcam_front_lidar.ply,0.3,100,0.85,0.31431,0.2928,1,0.07321,0.99951,0.13045
001322_lcam_front_lidar.ply,0.2,200,0.88,0.21879,0.33241,1,0.1388,0.93644,0.16184
000169_lcam_front_lidar.ply,0.1,200,0.9,0.19241,0.28279,1,0.0,0.0,0.0
000173_lcam_front_lidar.ply,0.2,500,0.85,0.11725,0.11853,1,0.12968,1.0,0.0023
000173_lcam_front_lidar.ply,0.5,800,0.9,0.0754,-0.04666,2,0.21545,0.9999,0.24716
000173_lcam_front_lidar.ply,0.05,800,0.88,0.08474,0.1909,3,0.0,0.0,0.0
001458_lcam_front_lidar.ply,0.15,500,0.93,0.22915,-0.00073,1,0.05059,0.93332,0.08263
001458_lcam_front_lidar.ply,0.05,50,0.88,3.10727,-0.01712,2,0.00329,0.99099,0.00227
001458_lcam_front_lidar.ply,0.25,50,0.95,1.01666,-0.01324,3,0.00561,0.97661,0.0134
001458_lcam_front_lidar.ply,0.5,800,0.95,0.11257,-0.1193,4,0.08517,0.91029,0.3911
001458_lcam_front_lidar.ply,0.25,100,0.85,0.37725,0.39112,5,0.00572,0.97708,0.01379
002864_lcam_front_lidar.ply,0.15,50,0.85,5.02146,-0.01091,1,0.00248,0.96427,0.00679
002864_lcam_front_lidar.ply,0.1,100,0.88,2.32531,0.34868,2,0.12284,1.0,0.09559
000468_lcam_front_lidar.ply,0.2,50,0.8,1.51834,-0.00892,1,0.00121,0.99985,0.00025
000468_lcam_front_lidar.ply,0.2,100,0.85,0.70579,-0.00102,2,0.01892,0.99998,0.0177
000468_lcam_front_lidar.ply,0.4,800,0.88,0.12985,0.17821,3,0.00482,0.9991,0.18779
000984_lcam_front_lidar.ply,0.4,500,0.85,0.16408,-0.06712,1,0.04431,0.97816,0.20286
000984_lcam_front_lidar.ply,0.3,100,0.85,0.58099,-0.00716,2,0.00478,0.83019,0.11812
000984_lcam_front_lidar.ply,0.3,200,0.8,0.27609,0.26395,3,0.01648,0.99139,0.16343
000952_lcam_front_lidar.ply,0.15,50,0.85,2.02277,-0.00829,1,0.00398,0.99429,0.00454
000952_lcam_front_lidar.ply,0.05,50,0.95,1.53206,0.27982,2,0.00267,0.9999,0.00032
001786_lcam_front_lidar.ply,0.05,200,0.8,0.19779,0.33851,1,0.06867,0.00918,0.03267
000037_lcam_front_lidar.ply,0.5,300,0.93,0.23507,0.02934,1,0.02929,0.9653,0.56918
003401_lcam_front_lidar.ply,0.3,200,0.95,0.19518,0.1668,1,0.23136,1.0,0.10912
003401_lcam_front_lidar.ply,0.25,200,0.9,0.28423,-0.18712,2,0.02014,0.99951,0.04093
003401_lcam_front_lidar.ply,0.15,100,0.93,1.15082,-0.00758,3,0.00535,0.99835,0.0065
003401_lcam_front_lidar.ply,0.4,100,0.85,0.49896,-0.15906,4,0.01057,0.99233,0.31506
003401_lcam_front_lidar.ply,0.25,50,0.85,1.69125,0.41837,5,0.00482,0.97822,0.01872
000363_lcam_front_lidar.ply,0.05,300,0.8,0.1765,0.28576,1,0.0,0.0,0.0
001612_lcam_front_lidar.ply,0.05,200,0.88,0.09329,0.28414,1,0.29969,0.00465,0.0111
001612_lcam_front_lidar.ply,0.25,500,0.88,0.05237,0.00382,2,0.31601,0.01101,0.0161
001612_lcam_front_lidar.ply,0.25,50,0.85,0.08585,-0.01532,3,0.00559,0.99902,0.00168
000249_lcam_front_lidar.ply,0.2,800,0.9,0.07534,0.0506,1,0.06665,1.0,0.01211
000249_lcam_front_lidar.ply,0.5,50,0.95,0.10203,0.19181,2,0.03053,0.99645,0.12895
000357_lcam_front_lidar.ply,0.15,300,0.8,0.11349,0.02439,1,0.03452,1.0,0.00025
000357_lcam_front_lidar.ply,0.1,200,0.9,0.19972,-0.02616,2,0.01834,1.0,0.00021
000357_lcam_front_lidar.ply,0.25,100,0.9,0.16374,0.31672,3,0.04889,1.0,0.00027
000076_lcam_front_lidar.ply,0.1,500,0.85,0.20123,-0.00313,1,0.04442,0.98898,0.07511
