frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
Sewerage/000082_lcam_front_lidar.ply,0.2,300,0.85,0.07208,0.23318,1,0.26576,0.00557,0.04682
SeasonalForestAutumn/000573_lcam_front_lidar.ply,0.2,500,0.85,0.18159,0.13504,1,0.00296,0.96725,0.00602
SeasonalForestWinterNight/002414_lcam_front_lidar.ply,0.4,800,0.88,0.09705,0.18262,1,0.20916,0.89182,0.30063
OldScandinavia/001109_lcam_front_lidar.ply,0.5,500,0.85,0.48926,0.05949,1,0.01666,0.91578,0.16906
OldScandinavia/001109_lcam_front_lidar.ply,0.05,800,0.88,0.18784,-0.07949,2,0.0,0.0,0.0
OldScandinavia/001109_lcam_front_lidar.ply,0.25,800,0.93,0.22778,-0.01,3,0.0,0.0,0.0
Hospital/001386_lcam_front_lidar.ply,0.5,500,0.8,0.08587,0.03307,1,0.09341,0.99467,0.39909
SeasonalForestSpring/001225_lcam_front_lidar.ply,0.4,50,0.88,0.72064,-0.03034,1,0.04486,0.96512,0.41995
SeasonalForestSpring/001225_lcam_front_lidar.ply,0.4,800,0.9,0.12519,0.05911,2,0.05108,0.82618,0.25246
SeasideTown/000331_lcam_front_lidar.ply,0.3,200,0.93,0.38453,-0.01,1,0.0,0.0,0.0
SeasideTown/000331_lcam_front_lidar.ply,0.2,500,0.8,0.13788,-0.01,2,0.0,0.0,0.0
OldScandinavia/002405_lcam_front_lidar.ply,0.5,300,0.9,0.22733,0.02766,1,0.00999,0.91209,0.21829
Sewerage/000097_lcam_front_lidar.ply,0.1,50,0.9,0.50977,0.13163,1,0.01602,0.85311,0.00472
ForestEnv/001023_lcam_front_lidar.ply,0.4,200,0.95,0.2909,0.0822,1,0.01318,0.99997,0.14195
ForestEnv/001996_lcam_front_lidar.ply,0.5,50,0.88,0.90203,0.08495,1,0.00316,0.98201,0.11102
Sewerage/000267_lcam_front_lidar.ply,0.5,800,0.88,0.09321,0.17967,1,0.14166,0.99938,0.20379
Sewerage/000267_lcam_front_lidar.ply,0.2,500,0.9,0.09838,-0.06168,2,0.03993,0.99747,0.10311
Sewerage/000267_lcam_front_lidar.ply,0.3,300,0.8,0.13215,-0.05776,3,0.0243,0.99192,0.16572
Sewerage/000267_lcam_front_lidar.ply,0.1,50,0.8,0.54048,0.00675,4,0.01766,0.82152,0.0678
Sewerage/000375_lcam_front_lidar.ply,0.4,300,0.93,0.12784,0.30376,1,0.32065,0.07419,0.03603
Sewerage/000375_lcam_front_lidar.ply,0.5,500,0.8,0.12637,-0.25395,2,0.04361,0.99684,0.24665
Sewerage/000375_lcam_front_lidar.ply,0.4,300,0.88,0.12084,0.24933,3,0.34222,0.0866,0.05213
OldScandinavia/002715_lcam_front_lidar.ply,0.2,50,0.85,1.47491,0.14338,1,0.0038,0.99983,0.00078
OldScandinavia/002715_lcam_front_lidar.ply,0.15,50,0.93,1.52173,-0.01405,2,0.00102,0.99259,0.00116
OldTownFall/000462_lcam_front_lidar.ply,0.4,100,0.95,0.80836,-0.03823,1,0.00958,0.89729,0.34482
OldTownFall/000462_lcam_front_lidar.ply,0.2,50,0.88,1.85485,0.17136,2,0.00398,0.99873,0.00131
ForestEnv/002315_lcam_front_lidar.ply,0.1,50,0.95,1.04827,0.13639,1,0.00159,0.97331,0.00237
ForestEnv/002706_lcam_front_lidar.ply,0.05,100,0.93,1.36362,0.14011,1,0.00416,0.99371,0.00621
SeasonalForestWinterNight/001184_lcam_front_lidar.ply,0.05,50,0.88,3.24202,0.14002,1,0.00464,0.98784,0.00559
