frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.11866,0.3539,1,0.13425,0.99997,0.02836
000001_lcam_front_lidar.ply,0.2,800,0.9,0.1282,0.35223,1,0.1382,0.99997,0.0319
000002_lcam_front_lidar.ply,0.2,800,0.9,0.15394,0.34202,1,0.12342,0.99999,0.01894
000003_lcam_front_lidar.ply,0.2,800,0.9,0.11995,0.34685,1,0.12356,0.99999,0.01873
000004_lcam_front_lidar.ply,0.2,800,0.9,0.11911,0.35559,1,0.13754,0.99999,0.02607
000005_lcam_front_lidar.ply,0.2,800,0.9,0.13999,0.35447,1,0.13051,1.0,0.01594
000006_lcam_front_lidar.ply,0.2,800,0.9,0.11344,0.3684,1,0.14208,1.0,0.01909
000007_lcam_front_lidar.ply,0.2,800,0.9,0.10314,0.36025,1,0.13314,1.0,0.01602
000008_lcam_front_lidar.ply,0.2,800,0.9,0.11995,0.36603,1,0.13906,1.0,0.01599
000009_lcam_front_lidar.ply,0.2,800,0.9,0.14307,0.28721,1,0.06741,1.0,0.0203
000010_lcam_front_lidar.ply,0.2,800,0.9,0.1213,0.29032,1,0.06578,1.0,0.01641
000011_lcam_front_lidar.ply,0.2,800,0.9,0.13072,0.36911,1,0.14119,1.0,0.01188
000012_lcam_front_lidar.ply,0.2,800,0.9,0.13869,0.36267,1,0.13645,1.0,0.01117
000013_lcam_front_lidar.ply,0.2,800,0.9,0.13601,0.36307,1,0.13534,1.0,0.00978
000014_lcam_front_lidar.ply,0.2,800,0.9,0.15406,0.33517,1,0.11233,1.0,0.01275
000015_lcam_front_lidar.ply,0.2,800,0.9,0.16036,0.32953,1,0.1113,0.99999,0.02216
000016_lcam_front_lidar.ply,0.2,800,0.9,0.18713,0.32982,1,0.11055,0.99999,0.01895
000017_lcam_front_lidar.ply,0.2,800,0.9,0.14814,0.34626,1,0.1216,0.99999,0.01472
000018_lcam_front_lidar.ply,0.2,800,0.9,0.13924,0.35262,1,0.13114,0.99999,0.01931
000019_lcam_front_lidar.ply,0.2,800,0.9,0.15437,0.33751,1,0.1202,0.99999,0.02386
000020_lcam_front_lidar.ply,0.2,800,0.9,0.1704,0.24419,1,0.03397,0.99997,0.03645
000021_lcam_front_lidar.ply,0.2,800,0.9,0.20403,0.24036,1,0.03479,0.99997,0.04084
000022_lcam_front_lidar.ply,0.2,800,0.9,0.2084,0.24225,1,0.03786,0.99998,0.04225
000023_lcam_front_lidar.ply,0.2,800,0.9,0.19502,0.2437,1,0.03819,0.99998,0.04076
000024_lcam_front_lidar.ply,0.2,800,0.9,0.18141,0.24703,1,0.03661,0.99998,0.03638
000025_lcam_front_lidar.ply,0.2,800,0.9,0.17893,0.25036,1,0.03844,0.99999,0.03306
000026_lcam_front_lidar.ply,0.2,800,0.9,0.14368,0.3347,1,0.10375,1.0,0.00072
000027_lcam_front_lidar.ply,0.2,800,0.9,0.15728,0.33365,1,0.10449,1.0,0.00103
000028_lcam_front_lidar.ply,0.2,800,0.9,0.18397,0.21391,1,0.02207,0.99953,0.07188
000029_lcam_front_lidar.ply,0.2,800,0.9,0.15592,0.33438,1,0.10329,1.0,0.00163
000030_lcam_front_lidar.ply,0.2,800,0.9,0.1649,0.30108,1,0.07274,1.0,0.0012
000031_lcam_front_lidar.ply,0.2,800,0.9,0.12814,0.33471,1,0.10288,1.0,0.00232
000032_lcam_front_lidar.ply,0.2,800,0.9,0.13574,0.24589,1,0.02975,0.99987,0.03388
000033_lcam_front_lidar.ply,0.2,800,0.9,0.12758,0.32844,1,0.09787,1.0,0.00265
000034_lcam_front_lidar.ply,0.2,800,0.9,0.12758,0.26203,1,0.0438,0.99998,0.03161
000035_lcam_front_lidar.ply,0.2,800,0.9,0.11129,0.25173,1,0.04785,0.99997,0.06156
000036_lcam_front_lidar.ply,0.2,800,0.9,0.11057,0.26441,1,0.04653,0.99998,0.03397
000037_lcam_front_lidar.ply,0.2,800,0.9,0.14598,0.33114,1,0.1028,1.0,0.0045
000038_lcam_front_lidar.ply,0.2,800,0.9,0.13368,0.26685,1,0.03955,1.0,0.01179
000039_lcam_front_lidar.ply,0.2,800,0.9,0.16159,0.33129,1,0.10286,1.0,0.00461
000040_lcam_front_lidar.ply,0.2,800,0.9,0.13804,0.23488,1,0.03509,0.99996,0.06506
000041_lcam_front_lidar.ply,0.2,800,0.9,0.12992,0.33971,1,0.11132,1.0,0.01069
000042_lcam_front_lidar.ply,0.2,800,0.9,0.13405,0.33806,1,0.11074,1.0,0.0104
000043_lcam_front_lidar.ply,0.2,800,0.9,0.11948,0.3384,1,0.11085,1.0,0.01199
000044_lcam_front_lidar.ply,0.2,800,0.9,0.1404,0.34314,1,0.12065,1.0,0.01749
000045_lcam_front_lidar.ply,0.2,800,0.9,0.17744,0.33763,1,0.12235,0.99999,0.01918
000046_lcam_front_lidar.ply,0.2,800,0.9,0.14148,0.34264,1,0.11646,1.0,0.01206
000047_lcam_front_lidar.ply,0.2,800,0.9,0.1615,0.34069,1,0.12379,0.99998,0.02496
000048_lcam_front_lidar.ply,0.2,800,0.9,0.12591,0.3398,1,0.11543,1.0,0.01496
000049_lcam_front_lidar.ply,0.2,800,0.9,0.15165,0.32691,1,0.10351,1.0,0.01222
000050_lcam_front_lidar.ply,0.2,800,0.9,0.14295,0.32716,1,0.10242,1.0,0.01332
000051_lcam_front_lidar.ply,0.2,800,0.9,0.1358,0.33874,1,0.11455,0.99999,0.01596
000052_lcam_front_lidar.ply,0.2,800,0.9,0.13715,0.32826,1,0.10475,1.0,0.01603
000053_lcam_front_lidar.ply,0.2,800,0.9,0.14458,0.32143,1,0.09887,0.99999,0.01883
000054_lcam_front_lidar.ply,0.2,800,0.9,0.10292,0.35301,1,0.12421,0.99999,0.01369
000055_lcam_front_lidar.ply,0.2,800,0.9,0.10389,0.35291,1,0.12475,0.99999,0.01578
000056_lcam_front_lidar.ply,0.2,800,0.9,0.08029,0.34724,1,0.11692,0.99999,0.01462
000057_lcam_front_lidar.ply,0.2,800,0.9,0.10392,0.33492,1,0.10433,0.99999,0.01207
000058_lcam_front_lidar.ply,0.2,800,0.9,0.12209,0.25481,1,0.02552,0.99998,0.01003
000059_lcam_front_lidar.ply,0.2,800,0.9,0.12542,0.31327,1,0.08581,1.0,0.01085
000060_lcam_front_lidar.ply,0.2,800,0.9,0.09719,0.3182,1,0.08855,1.0,0.01064
000061_lcam_front_lidar.ply,0.2,800,0.9,0.11175,0.31866,1,0.09033,1.0,0.01092
000062_lcam_front_lidar.ply,0.2,800,0.9,0.11897,0.32399,1,0.09502,1.0,0.01072
000063_lcam_front_lidar.ply,0.2,800,0.9,0.12897,0.25818,1,0.03537,1.0,0.01683
000064_lcam_front_lidar.ply,0.2,800,0.9,0.13228,0.26265,1,0.03591,1.0,0.01496
000065_lcam_front_lidar.ply,0.2,800,0.9,0.13595,0.26221,1,0.03801,1.0,0.0155
000066_lcam_front_lidar.ply,0.2,800,0.9,0.16417,0.2612,1,0.03807,1.0,0.01536
000067_lcam_front_lidar.ply,0.2,800,0.9,0.1448,0.33105,1,0.10599,1.0,0.00992
000068_lcam_front_lidar.ply,0.2,800,0.9,0.15185,0.26213,1,0.0388,1.0,0.01458
