frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.03218,0.33085,1,0.10385,0.04038,0.03269
000001_lcam_front_lidar.ply,0.2,800,0.9,0.03927,0.24314,1,0.0,0.0,0.0
000002_lcam_front_lidar.ply,0.2,800,0.9,0.04674,0.32994,1,0.10437,0.04484,0.03461
000003_lcam_front_lidar.ply,0.2,800,0.9,0.04091,0.32454,1,0.09903,0.04363,0.03334
000004_lcam_front_lidar.ply,0.2,800,0.9,0.03389,0.24348,1,0.0,0.0,0.0
000005_lcam_front_lidar.ply,0.2,800,0.9,0.04789,0.3331,1,0.11835,0.10938,0.05381
000006_lcam_front_lidar.ply,0.2,800,0.9,0.04588,0.33758,1,0.12231,0.11203,0.0547
000007_lcam_front_lidar.ply,0.2,800,0.9,0.0435,0.32655,1,0.10195,0.04664,0.03472
000008_lcam_front_lidar.ply,0.2,800,0.9,0.04908,0.30003,1,0.16788,0.07781,0.21802
000009_lcam_front_lidar.ply,0.2,800,0.9,0.03355,0.33482,1,0.11825,0.13963,0.05566
000010_lcam_front_lidar.ply,0.2,800,0.9,0.05237,0.32441,1,0.11059,0.06862,0.05564
000011_lcam_front_lidar.ply,0.2,800,0.9,0.03929,0.32992,1,0.11468,0.0617,0.0566
000012_lcam_front_lidar.ply,0.2,800,0.9,0.02946,0.33078,1,0.11614,0.06638,0.05728
000013_lcam_front_lidar.ply,0.2,800,0.9,0.05965,0.3277,1,0.11212,0.13215,0.05253
000014_lcam_front_lidar.ply,0.2,800,0.9,0.0597,0.34782,1,0.11224,0.00136,0.01037
000015_lcam_front_lidar.ply,0.2,800,0.9,0.05508,0.32844,1,0.11296,0.13116,0.05231
000016_lcam_front_lidar.ply,0.2,800,0.9,0.04556,0.33292,1,0.11858,0.08399,0.05794
000017_lcam_front_lidar.ply,0.2,800,0.9,0.05427,0.32827,1,0.11492,0.07074,0.05456
000018_lcam_front_lidar.ply,0.2,800,0.9,0.05138,0.32593,1,0.11174,0.06815,0.05479
000019_lcam_front_lidar.ply,0.2,800,0.9,0.03154,0.3342,1,0.11647,0.06446,0.05412
000020_lcam_front_lidar.ply,0.2,800,0.9,0.0494,0.34145,1,0.12636,0.06329,0.05384
000021_lcam_front_lidar.ply,0.2,800,0.9,0.05308,0.34712,1,0.13071,0.05974,0.05099
000022_lcam_front_lidar.ply,0.2,800,0.9,0.04791,0.35023,1,0.13447,0.06166,0.05265
000023_lcam_front_lidar.ply,0.2,800,0.9,0.04465,0.35684,1,0.14205,0.08286,0.05649
000024_lcam_front_lidar.ply,0.2,800,0.9,0.04146,0.35764,1,0.14357,0.08525,0.0569
000025_lcam_front_lidar.ply,0.2,800,0.9,0.02586,0.36657,1,0.14974,0.08101,0.05545
000026_lcam_front_lidar.ply,0.2,800,0.9,0.04959,0.36798,1,0.15052,0.07113,0.04915
000027_lcam_front_lidar.ply,0.2,800,0.9,0.08671,0.3738,1,0.1613,0.06497,0.05079
000028_lcam_front_lidar.ply,0.2,800,0.9,0.04188,0.39274,1,0.17691,0.05644,0.05253
000029_lcam_front_lidar.ply,0.2,800,0.9,0.03642,0.39203,1,0.17548,0.06286,0.05233
000030_lcam_front_lidar.ply,0.2,800,0.9,0.03982,0.4,1,0.1809,0.05147,0.04799
000031_lcam_front_lidar.ply,0.2,800,0.9,0.04556,0.42158,1,0.20354,0.05333,0.05066
000032_lcam_front_lidar.ply,0.2,800,0.9,0.04364,0.43086,1,0.21501,0.04724,0.05184
000033_lcam_front_lidar.ply,0.2,800,0.9,0.04771,0.44786,1,0.23298,0.04581,0.05185
000034_lcam_front_lidar.ply,0.2,800,0.9,0.04939,0.46469,1,0.24872,0.04287,0.05189
000035_lcam_front_lidar.ply,0.2,800,0.9,0.05592,0.47612,1,0.26152,0.04347,0.05054
000036_lcam_front_lidar.ply,0.2,800,0.9,0.05398,0.50404,1,0.28633,0.04308,0.05004
000037_lcam_front_lidar.ply,0.2,800,0.9,0.0476,0.52047,1,0.30259,0.03826,0.04883
000038_lcam_front_lidar.ply,0.2,800,0.9,0.04171,0.54243,1,0.32477,0.03984,0.04927
000039_lcam_front_lidar.ply,0.2,800,0.9,0.06362,0.56983,1,0.35564,0.03487,0.04923
000040_lcam_front_lidar.ply,0.2,800,0.9,0.03675,0.59777,1,0.38146,0.03546,0.04978
000041_lcam_front_lidar.ply,0.2,800,0.9,0.03173,0.59145,1,0.37245,0.03526,0.04861
000042_lcam_front_lidar.ply,0.2,800,0.9,0.0537,0.56797,1,0.35195,0.03683,0.05041
000043_lcam_front_lidar.ply,0.2,800,0.9,0.05309,0.5554,1,0.3388,0.03626,0.05028
000044_lcam_front_lidar.ply,0.2,800,0.9,0.06862,0.53898,1,0.32402,0.03519,0.05063
000045_lcam_front_lidar.ply,0.2,800,0.9,0.05612,0.54167,1,0.32705,0.03536,0.05216
000046_lcam_front_lidar.ply,0.2,800,0.9,0.05207,0.52905,1,0.31467,0.03798,0.05338
000047_lcam_front_lidar.ply,0.2,800,0.9,0.05791,0.53383,1,0.31958,0.03435,0.05249
000048_lcam_front_lidar.ply,0.2,800,0.9,0.06108,0.53364,1,0.31961,0.03318,0.05438
000049_lcam_front_lidar.ply,0.2,800,0.9,0.06512,0.52733,1,0.3147,0.03714,0.05538
000050_lcam_front_lidar.ply,0.2,800,0.9,0.06292,0.52418,1,0.31053,0.03232,0.05394
