frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.07889,0.3462,1,0.11267,1.0,0.00546
000001_lcam_front_lidar.ply,0.2,800,0.9,0.08789,0.35174,1,0.11545,1.0,0.00131
000002_lcam_front_lidar.ply,0.2,800,0.9,0.0841,0.34619,1,0.10966,1.0,0.00067
000003_lcam_front_lidar.ply,0.2,800,0.9,0.08979,0.34302,1,0.10655,1.0,0.00066
000004_lcam_front_lidar.ply,0.2,800,0.9,0.07717,0.34337,1,0.10651,1.0,0.00065
000005_lcam_front_lidar.ply,0.2,800,0.9,0.0828,0.34429,1,0.10653,1.0,0.00072
000006_lcam_front_lidar.ply,0.2,800,0.9,0.07939,0.34461,1,0.1079,1.0,0.00159
000007_lcam_front_lidar.ply,0.2,800,0.9,0.07943,0.33916,1,0.1041,1.0,0.00063
000008_lcam_front_lidar.ply,0.2,800,0.9,0.07859,0.34045,1,0.10475,1.0,0.00061
000009_lcam_front_lidar.ply,0.2,800,0.9,0.07135,0.34819,1,0.11413,1.0,0.00497
000010_lcam_front_lidar.ply,0.2,800,0.9,0.08323,0.34157,1,0.1051,1.0,0.00057
000011_lcam_front_lidar.ply,0.2,800,0.9,0.07495,0.34398,1,0.10519,1.0,0.00071
000012_lcam_front_lidar.ply,0.2,800,0.9,0.07952,0.34285,1,0.10666,1.0,0.00056
000013_lcam_front_lidar.ply,0.2,800,0.9,0.08337,0.34217,1,0.10568,1.0,0.00047
000014_lcam_front_lidar.ply,0.2,800,0.9,0.08123,0.34389,1,0.10784,1.0,0.00569
000015_lcam_front_lidar.ply,0.2,800,0.9,0.07946,0.38454,1,0.1511,1.0,0.01044
000016_lcam_front_lidar.ply,0.2,800,0.9,0.06162,0.36921,1,0.13716,1.0,0.0123
000017_lcam_front_lidar.ply,0.2,800,0.9,0.06357,0.34753,1,0.10785,1.0,0.00051
000018_lcam_front_lidar.ply,0.2,800,0.9,0.06339,0.3694,1,0.13417,1.0,0.00633
000019_lcam_front_lidar.ply,0.2,800,0.9,0.0799,0.34528,1,0.10842,1.0,0.0008
000020_lcam_front_lidar.ply,0.2,800,0.9,0.07932,0.38736,1,0.15083,1.0,0.00368
000021_lcam_front_lidar.ply,0.2,800,0.9,0.05939,0.3662,1,0.13264,1.0,0.00959
000022_lcam_front_lidar.ply,0.2,800,0.9,0.07925,0.3675,1,0.13324,1.0,0.00513
000023_lcam_front_lidar.ply,0.2,800,0.9,0.06333,0.3443,1,0.10529,1.0,0.0005
000024_lcam_front_lidar.ply,0.2,800,0.9,0.08337,0.34181,1,0.10471,1.0,0.00045
000025_lcam_front_lidar.ply,0.2,800,0.9,0.07946,0.35184,1,0.11434,1.0,0.00119
000026_lcam_front_lidar.ply,0.2,800,0.9,0.09507,0.33888,1,0.10389,1.0,0.00043
000027_lcam_front_lidar.ply,0.2,800,0.9,0.07134,0.34137,1,0.10472,1.0,0.00051
000028_lcam_front_lidar.ply,0.2,800,0.9,0.06305,0.34377,1,0.10512,1.0,0.00043
000029_lcam_front_lidar.ply,0.2,800,0.9,0.06953,0.34503,1,0.10753,1.0,0.00052
000030_lcam_front_lidar.ply,0.2,800,0.9,0.07131,0.34737,1,0.11404,1.0,0.01235
000031_lcam_front_lidar.ply,0.2,800,0.9,0.07723,0.3582,1,0.12774,1.0,0.01094
000032_lcam_front_lidar.ply,0.2,800,0.9,0.07881,0.34483,1,0.1078,1.0,0.00057
000033_lcam_front_lidar.ply,0.2,800,0.9,0.08455,0.34081,1,0.10446,1.0,0.00058
000034_lcam_front_lidar.ply,0.2,800,0.9,0.09083,0.33745,1,0.1045,1.0,0.0007
000035_lcam_front_lidar.ply,0.2,800,0.9,0.09334,0.33815,1,0.10396,1.0,0.00066
000036_lcam_front_lidar.ply,0.2,800,0.9,0.07884,0.34007,1,0.10421,1.0,0.00059
000037_lcam_front_lidar.ply,0.2,800,0.9,0.09544,0.34033,1,0.10582,1.0,0.00562
000038_lcam_front_lidar.ply,0.2,800,0.9,0.08119,0.34115,1,0.10355,1.0,0.00056
000039_lcam_front_lidar.ply,0.2,800,0.9,0.07611,0.3435,1,0.1058,1.0,0.00217
000040_lcam_front_lidar.ply,0.2,800,0.9,0.09547,0.33984,1,0.10431,1.0,0.00088
000041_lcam_front_lidar.ply,0.2,800,0.9,0.09443,0.34241,1,0.10532,1.0,0.00084
000042_lcam_front_lidar.ply,0.2,800,0.9,0.09318,0.33692,1,0.10211,1.0,0.00065
000043_lcam_front_lidar.ply,0.2,800,0.9,0.09225,0.33897,1,0.10242,1.0,0.00058
000044_lcam_front_lidar.ply,0.2,800,0.9,0.09523,0.33782,1,0.10294,1.0,0.00066
000045_lcam_front_lidar.ply,0.2,800,0.9,0.07958,0.34467,1,0.10925,1.0,0.00141
