frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.17332,0.31613,1,0.18188,0.92513,0.18394
000001_lcam_front_lidar.ply,0.2,800,0.9,0.12511,0.22087,1,0.09282,0.91413,0.20212
000002_lcam_front_lidar.ply,0.2,800,0.9,0.11795,0.23096,1,0.00164,0.9814,0.00111
000003_lcam_front_lidar.ply,0.2,800,0.9,0.11093,0.23337,1,0.00143,0.98206,0.00062
000004_lcam_front_lidar.ply,0.2,800,0.9,0.10036,0.34069,1,0.18587,0.91822,0.15596
000005_lcam_front_lidar.ply,0.2,800,0.9,0.12372,0.33496,1,0.18914,0.91735,0.16651
000006_lcam_front_lidar.ply,0.2,800,0.9,0.11521,0.33842,1,0.18614,0.91891,0.15759
000007_lcam_front_lidar.ply,0.2,800,0.9,0.10646,0.21895,1,0.0039,0.97188,0.0322
000008_lcam_front_lidar.ply,0.2,800,0.9,0.12008,0.3364,1,0.18451,0.9131,0.162
000009_lcam_front_lidar.ply,0.2,800,0.9,0.10454,0.339,1,0.18224,0.91209,0.15385
000010_lcam_front_lidar.ply,0.2,800,0.9,0.1181,0.28819,1,0.11792,0.91319,0.12503
000011_lcam_front_lidar.ply,0.2,800,0.9,0.10129,0.34052,1,0.18262,0.91013,0.15218
000012_lcam_front_lidar.ply,0.2,800,0.9,0.10367,0.32919,1,0.1684,0.91007,0.14281
000013_lcam_front_lidar.ply,0.2,800,0.9,0.11083,0.33176,1,0.17112,0.90931,0.14043
000014_lcam_front_lidar.ply,0.2,800,0.9,0.1042,0.2781,1,0.10718,0.91255,0.12533
000015_lcam_front_lidar.ply,0.2,800,0.9,0.1056,0.27547,1,0.10642,0.91099,0.12613
000016_lcam_front_lidar.ply,0.2,800,0.9,0.09767,0.26872,1,0.10007,0.91425,0.12694
000017_lcam_front_lidar.ply,0.2,800,0.9,0.11121,0.26707,1,0.10229,0.91114,0.13565
000018_lcam_front_lidar.ply,0.2,800,0.9,0.11086,0.25971,1,0.09468,0.91303,0.13268
000019_lcam_front_lidar.ply,0.2,800,0.9,0.09616,0.25471,1,0.09174,0.9074,0.13597
000020_lcam_front_lidar.ply,0.2,800,0.9,0.10844,0.25928,1,0.0918,0.90708,0.13091
000021_lcam_front_lidar.ply,0.2,800,0.9,0.09724,0.26436,1,0.09903,0.90856,0.13453
000022_lcam_front_lidar.ply,0.2,800,0.9,0.09716,0.25408,1,0.09081,0.9048,0.14149
000023_lcam_front_lidar.ply,0.2,800,0.9,0.10527,0.25578,1,0.09513,0.90746,0.14643
000024_lcam_front_lidar.ply,0.2,800,0.9,0.11114,0.24088,1,0.08078,0.90372,0.14564
000025_lcam_front_lidar.ply,0.2,800,0.9,0.09943,0.2391,1,0.0815,0.90439,0.14901
000026_lcam_front_lidar.ply,0.2,800,0.9,0.10536,0.23727,1,0.07705,0.90251,0.14374
000027_lcam_front_lidar.ply,0.2,800,0.9,0.09641,0.23855,1,0.08297,0.9051,0.15222
000028_lcam_front_lidar.ply,0.2,800,0.9,0.12504,0.2295,1,0.07804,0.90105,0.15629
000029_lcam_front_lidar.ply,0.2,800,0.9,0.09767,0.21933,1,0.05825,0.89623,0.14248
000030_lcam_front_lidar.ply,0.2,800,0.9,0.0852,0.2327,1,0.08036,0.89846,0.1633
000031_lcam_front_lidar.ply,0.2,800,0.9,0.10427,0.22083,1,0.06753,0.89967,0.16185
000032_lcam_front_lidar.ply,0.2,800,0.9,0.10393,0.2329,1,0.0038,0.96503,0.00641
000033_lcam_front_lidar.ply,0.2,800,0.9,0.13205,0.21101,1,0.01183,0.91324,0.06299
000034_lcam_front_lidar.ply,0.2,800,0.9,0.10954,0.20754,1,0.06292,0.90726,0.17312
000035_lcam_front_lidar.ply,0.2,800,0.9,0.1042,0.24216,1,0.08227,0.909,0.14462
000036_lcam_front_lidar.ply,0.2,800,0.9,0.10818,0.22404,1,0.07189,0.90738,0.16051
000037_lcam_front_lidar.ply,0.2,800,0.9,0.09442,0.20785,1,0.067,0.93841,0.1851
000038_lcam_front_lidar.ply,0.2,800,0.9,0.10339,0.20764,1,0.07454,0.91966,0.19797
000039_lcam_front_lidar.ply,0.2,800,0.9,0.09995,0.20846,1,0.07939,0.92243,0.20894
000040_lcam_front_lidar.ply,0.2,800,0.9,0.10444,0.20901,1,0.09326,0.94177,0.23144
000041_lcam_front_lidar.ply,0.2,800,0.9,0.11301,0.21271,1,0.07258,0.91523,0.18134
000042_lcam_front_lidar.ply,0.2,800,0.9,0.10456,0.2314,1,0.00321,0.97794,0.00473
000043_lcam_front_lidar.ply,0.2,800,0.9,0.11106,0.20713,1,0.07168,0.91704,0.19213
000044_lcam_front_lidar.ply,0.2,800,0.9,0.10637,0.35205,1,0.21885,0.94631,0.1979
000045_lcam_front_lidar.ply,0.2,800,0.9,0.11099,0.19399,1,0.00536,0.94381,0.08805
000046_lcam_front_lidar.ply,0.2,800,0.9,0.11809,0.20323,1,0.07466,0.92357,0.20076
000047_lcam_front_lidar.ply,0.2,800,0.9,0.11116,0.21311,1,0.0047,0.84155,0.04693
000048_lcam_front_lidar.ply,0.2,800,0.9,0.10418,0.21055,1,0.00511,0.82534,0.05041
000049_lcam_front_lidar.ply,0.2,800,0.9,0.10997,0.35786,1,0.2413,0.95604,0.23166
000050_lcam_front_lidar.ply,0.2,800,0.9,0.10457,0.33595,1,0.19552,0.92836,0.18208
000051_lcam_front_lidar.ply,0.2,800,0.9,0.10664,0.21541,1,0.0043,0.80742,0.04294
000052_lcam_front_lidar.ply,0.2,800,0.9,0.10065,0.23736,1,0.00377,0.99863,0.00154
000053_lcam_front_lidar.ply,0.2,800,0.9,0.12496,0.33483,1,0.20556,0.94378,0.20149
000054_lcam_front_lidar.ply,0.2,800,0.9,0.12758,0.33263,1,0.20387,0.94356,0.20077
000055_lcam_front_lidar.ply,0.2,800,0.9,0.11119,0.33048,1,0.20283,0.9425,0.20968
000056_lcam_front_lidar.ply,0.2,800,0.9,0.10473,0.33543,1,0.20173,0.94265,0.19679
000057_lcam_front_lidar.ply,0.2,800,0.9,0.11847,0.3341,1,0.19941,0.94784,0.19171
000058_lcam_front_lidar.ply,0.2,800,0.9,0.10463,0.18947,1,0.03053,0.92605,0.14442
000059_lcam_front_lidar.ply,0.2,800,0.9,0.13896,0.33837,1,0.21714,0.95486,0.21176
000060_lcam_front_lidar.ply,0.2,800,0.9,0.112,0.18607,1,0.01035,0.9514,0.1095
000061_lcam_front_lidar.ply,0.2,800,0.9,0.0994,0.35083,1,0.22975,0.97038,0.22328
