frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.11114,0.27384,1,0.05978,0.99975,0.03824
000001_lcam_front_lidar.ply,0.2,800,0.9,0.11185,0.26045,1,0.04529,0.9996,0.03785
000002_lcam_front_lidar.ply,0.2,800,0.9,0.11542,0.25724,1,0.04572,0.99964,0.04268
000003_lcam_front_lidar.ply,0.2,800,0.9,0.11881,0.25826,1,0.0447,0.99959,0.03859
000004_lcam_front_lidar.ply,0.2,800,0.9,0.12703,0.26797,1,0.06524,0.99999,0.0602
000005_lcam_front_lidar.ply,0.2,800,0.9,0.12707,0.25555,1,0.04316,0.99956,0.03748
000006_lcam_front_lidar.ply,0.2,800,0.9,0.12698,0.27787,1,0.06475,0.99979,0.03931
000007_lcam_front_lidar.ply,0.2,800,0.9,0.09674,0.28623,1,0.08304,1.0,0.06198
000008_lcam_front_lidar.ply,0.2,800,0.9,0.1113,0.26806,1,0.0646,1.0,0.05982
000009_lcam_front_lidar.ply,0.2,800,0.9,0.12764,0.28102,1,0.06854,0.9998,0.03884
000010_lcam_front_lidar.ply,0.2,800,0.9,0.11062,0.28166,1,0.06687,0.99981,0.03813
000011_lcam_front_lidar.ply,0.2,800,0.9,0.12299,0.27664,1,0.07229,1.0,0.05698
000012_lcam_front_lidar.ply,0.2,800,0.9,0.12691,0.28169,1,0.08084,1.0,0.06346
000013_lcam_front_lidar.ply,0.2,800,0.9,0.10927,0.27068,1,0.0671,1.0,0.06195
000014_lcam_front_lidar.ply,0.2,800,0.9,0.12643,0.27141,1,0.07114,1.0,0.06094
000015_lcam_front_lidar.ply,0.2,800,0.9,0.11736,0.26933,1,0.0674,1.0,0.06175
000016_lcam_front_lidar.ply,0.2,800,0.9,0.10086,0.29289,1,0.08854,1.0,0.06217
000017_lcam_front_lidar.ply,0.2,800,0.9,0.11149,0.27296,1,0.06798,1.0,0.06063
000018_lcam_front_lidar.ply,0.2,800,0.9,0.11265,0.28646,1,0.08352,1.0,0.06019
000019_lcam_front_lidar.ply,0.2,800,0.9,0.13821,0.26993,1,0.06882,1.0,0.06073
000020_lcam_front_lidar.ply,0.2,800,0.9,0.1111,0.27204,1,0.06925,1.0,0.06103
000021_lcam_front_lidar.ply,0.2,800,0.9,0.11396,0.26391,1,0.06338,1.0,0.06096
000022_lcam_front_lidar.ply,0.2,800,0.9,0.09905,0.2759,1,0.06958,1.0,0.05992
000023_lcam_front_lidar.ply,0.2,800,0.9,0.11167,0.26553,1,0.06243,1.0,0.059
000024_lcam_front_lidar.ply,0.2,800,0.9,0.11716,0.27146,1,0.06893,1.0,0.05896
000025_lcam_front_lidar.ply,0.2,800,0.9,0.12709,0.26934,1,0.06458,0.99999,0.05859
000026_lcam_front_lidar.ply,0.2,800,0.9,0.12638,0.27494,1,0.07212,1.0,0.06037
000027_lcam_front_lidar.ply,0.2,800,0.9,0.11333,0.27004,1,0.06568,0.99999,0.05649
000028_lcam_front_lidar.ply,0.2,800,0.9,0.12079,0.27074,1,0.06559,0.99998,0.05449
000029_lcam_front_lidar.ply,0.2,800,0.9,0.12806,0.27255,1,0.06696,0.99998,0.05268
000030_lcam_front_lidar.ply,0.2,800,0.9,0.11091,0.30076,1,0.09706,1.0,0.05898
000031_lcam_front_lidar.ply,0.2,800,0.9,0.10488,0.30161,1,0.09839,0.99999,0.05947
000032_lcam_front_lidar.ply,0.2,800,0.9,0.12729,0.27562,1,0.07011,0.99998,0.05182
000033_lcam_front_lidar.ply,0.2,800,0.9,0.11018,0.27797,1,0.07021,0.99998,0.05214
000034_lcam_front_lidar.ply,0.2,800,0.9,0.10639,0.306,1,0.09857,0.99999,0.05624
000035_lcam_front_lidar.ply,0.2,800,0.9,0.12755,0.27778,1,0.07599,0.99999,0.05616
000036_lcam_front_lidar.ply,0.2,800,0.9,0.12724,0.28228,1,0.07115,0.99996,0.04404
000037_lcam_front_lidar.ply,0.2,800,0.9,0.13704,0.23196,1,0.00143,0.99864,0.00026
000038_lcam_front_lidar.ply,0.2,800,0.9,0.11124,0.30231,1,0.09544,0.99998,0.05138
000039_lcam_front_lidar.ply,0.2,800,0.9,0.13593,0.29657,1,0.09049,0.99998,0.05098
000040_lcam_front_lidar.ply,0.2,800,0.9,0.11186,0.21494,1,0.03282,0.99993,0.10185
000041_lcam_front_lidar.ply,0.2,800,0.9,0.10528,0.30496,1,0.10163,0.99999,0.05816
000042_lcam_front_lidar.ply,0.2,800,0.9,0.11612,0.30604,1,0.10196,0.99999,0.05839
000043_lcam_front_lidar.ply,0.2,800,0.9,0.11085,0.30463,1,0.10229,0.99999,0.05838
