frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.14554,0.21516,1,0.0748,0.99088,0.17168
000001_lcam_front_lidar.ply,0.2,800,0.9,0.16166,0.2196,1,0.07875,0.99014,0.15876
000002_lcam_front_lidar.ply,0.2,800,0.9,0.15428,0.23101,1,0.08848,0.98997,0.16197
000003_lcam_front_lidar.ply,0.2,800,0.9,0.15529,0.23875,1,0.08471,0.99079,0.13975
000004_lcam_front_lidar.ply,0.2,800,0.9,0.13754,0.23949,1,0.08328,0.99101,0.13704
000005_lcam_front_lidar.ply,0.2,800,0.9,0.13317,0.24515,1,0.09649,0.98982,0.15233
000006_lcam_front_lidar.ply,0.2,800,0.9,0.14193,0.23793,1,0.09613,0.99173,0.16839
000007_lcam_front_lidar.ply,0.2,800,0.9,0.13063,0.251,1,0.10167,0.99074,0.15001
000008_lcam_front_lidar.ply,0.2,800,0.9,0.14262,0.2478,1,0.09334,0.99113,0.13909
000009_lcam_front_lidar.ply,0.2,800,0.9,0.14469,0.20172,1,0.02712,0.98982,0.10203
000010_lcam_front_lidar.ply,0.2,800,0.9,0.12885,0.22998,1,0.10332,0.99484,0.19434
000011_lcam_front_lidar.ply,0.2,800,0.9,0.14383,0.24875,1,0.09919,0.99159,0.14137
000012_lcam_front_lidar.ply,0.2,800,0.9,0.15093,0.24598,1,0.09929,0.99114,0.1491
000013_lcam_front_lidar.ply,0.2,800,0.9,0.14097,0.24561,1,0.08993,0.99285,0.14139
000014_lcam_front_lidar.ply,0.2,800,0.9,0.12062,0.25249,1,0.10496,0.99266,0.15522
000015_lcam_front_lidar.ply,0.2,800,0.9,0.15111,0.23894,1,0.10744,0.99442,0.1809
000016_lcam_front_lidar.ply,0.2,800,0.9,0.12119,0.24582,1,0.10043,0.99332,0.15756
000017_lcam_front_lidar.ply,0.2,800,0.9,0.13237,0.25371,1,0.09891,0.99138,0.14251
000018_lcam_front_lidar.ply,0.2,800,0.9,0.14444,0.2542,1,0.09137,0.99175,0.12443
000019_lcam_front_lidar.ply,0.2,800,0.9,0.12731,0.26513,1,0.11058,0.9918,0.13956
000020_lcam_front_lidar.ply,0.2,800,0.9,0.12589,0.25696,1,0.10359,0.99144,0.13891
000021_lcam_front_lidar.ply,0.2,800,0.9,0.11829,0.24935,1,0.10885,0.99341,0.17177
000022_lcam_front_lidar.ply,0.2,800,0.9,0.1114,0.25994,1,0.09624,0.99186,0.13
000023_lcam_front_lidar.ply,0.2,800,0.9,0.1335,0.2424,1,0.09157,0.99296,0.14539
000024_lcam_front_lidar.ply,0.2,800,0.9,0.12087,0.24923,1,0.09716,0.99173,0.14683
000025_lcam_front_lidar.ply,0.2,800,0.9,0.1423,0.24435,1,0.09461,0.99188,0.14802
000026_lcam_front_lidar.ply,0.2,800,0.9,0.14233,0.22976,1,0.0995,0.99506,0.18635
000027_lcam_front_lidar.ply,0.2,800,0.9,0.13989,0.23288,1,0.08356,0.99299,0.1498
000028_lcam_front_lidar.ply,0.2,800,0.9,0.13089,0.22078,1,0.0814,0.99567,0.17366
000029_lcam_front_lidar.ply,0.2,800,0.9,0.13805,0.1988,1,0.03458,0.98875,0.12074
000030_lcam_front_lidar.ply,0.2,800,0.9,0.13742,0.2104,1,0.02737,0.98884,0.07975
000031_lcam_front_lidar.ply,0.2,800,0.9,0.11094,0.21663,1,0.03187,0.98764,0.08533
000032_lcam_front_lidar.ply,0.2,800,0.9,0.12322,0.21801,1,0.03494,0.97666,0.0871
000033_lcam_front_lidar.ply,0.2,800,0.9,0.10058,0.21145,1,0.05044,0.97998,0.13482
000034_lcam_front_lidar.ply,0.2,800,0.9,0.13398,0.21869,1,0.03212,0.95397,0.08219
000035_lcam_front_lidar.ply,0.2,800,0.9,0.12749,0.19029,1,0.0286,0.97139,0.12516
000036_lcam_front_lidar.ply,0.2,800,0.9,0.11736,0.25838,1,0.08056,0.98957,0.09566
000037_lcam_front_lidar.ply,0.2,800,0.9,0.13084,0.2501,1,0.07143,0.98917,0.093
000038_lcam_front_lidar.ply,0.2,800,0.9,0.10946,0.25891,1,0.08261,0.9871,0.10269
000039_lcam_front_lidar.ply,0.2,800,0.9,0.09645,0.27004,1,0.08617,0.98828,0.09276
000040_lcam_front_lidar.ply,0.2,800,0.9,0.11847,0.25586,1,0.06865,0.98805,0.07956
000041_lcam_front_lidar.ply,0.2,800,0.9,0.1118,0.25736,1,0.0796,0.98725,0.09952
000042_lcam_front_lidar.ply,0.2,800,0.9,0.12382,0.24859,1,0.07123,0.98838,0.0952
000043_lcam_front_lidar.ply,0.2,800,0.9,0.11581,0.19928,1,0.02666,0.9282,0.10694
000044_lcam_front_lidar.ply,0.2,800,0.9,0.12524,0.22829,1,0.05438,0.98869,0.10277
000045_lcam_front_lidar.ply,0.2,800,0.9,0.12475,0.23365,1,0.05762,0.98834,0.09994
000046_lcam_front_lidar.ply,0.2,800,0.9,0.11896,0.23358,1,0.05686,0.98931,0.10179
000047_lcam_front_lidar.ply,0.2,800,0.9,0.12921,0.22581,1,0.06434,0.98988,0.12473
000048_lcam_front_lidar.ply,0.2,800,0.9,0.1146,0.22399,1,0.05724,0.98808,0.12042
000049_lcam_front_lidar.ply,0.2,800,0.9,0.1239,0.23953,1,0.07288,0.98832,0.12186
000050_lcam_front_lidar.ply,0.2,800,0.9,0.12202,0.20759,1,0.03047,0.96234,0.09847
000051_lcam_front_lidar.ply,0.2,800,0.9,0.11408,0.23079,1,0.10744,0.98925,0.20462
000052_lcam_front_lidar.ply,0.2,800,0.9,0.11933,0.22455,1,0.04231,0.95062,0.0952
000053_lcam_front_lidar.ply,0.2,800,0.9,0.09837,0.24436,1,0.10879,0.98879,0.18821
000054_lcam_front_lidar.ply,0.2,800,0.9,0.12114,0.23752,1,0.10501,0.99002,0.18762
000055_lcam_front_lidar.ply,0.2,800,0.9,0.12327,0.22607,1,0.0654,0.98009,0.13561
000056_lcam_front_lidar.ply,0.2,800,0.9,0.12211,0.23651,1,0.09978,0.99034,0.18056
000057_lcam_front_lidar.ply,0.2,800,0.9,0.13117,0.23533,1,0.11384,0.98964,0.20675
000058_lcam_front_lidar.ply,0.2,800,0.9,0.11114,0.25107,1,0.11282,0.98913,0.18033
000059_lcam_front_lidar.ply,0.2,800,0.9,0.11589,0.25953,1,0.11103,0.99011,0.16076
000060_lcam_front_lidar.ply,0.2,800,0.9,0.12234,0.25457,1,0.11248,0.98997,0.17039
000061_lcam_front_lidar.ply,0.2,800,0.9,0.1102,0.25887,1,0.11737,0.98951,0.17953
000062_lcam_front_lidar.ply,0.2,800,0.9,0.11097,0.22791,1,0.09206,0.99019,0.18315
000063_lcam_front_lidar.ply,0.2,800,0.9,0.10295,0.21826,1,0.08543,0.9893,0.18935
000064_lcam_front_lidar.ply,0.2,800,0.9,0.12066,0.2368,1,0.08739,0.98895,0.15319
000065_lcam_front_lidar.ply,0.2,800,0.9,0.10636,0.23197,1,0.09073,0.98849,0.17104
000066_lcam_front_lidar.ply,0.2,800,0.9,0.11905,0.25268,1,0.1096,0.98825,0.16638
000067_lcam_front_lidar.ply,0.2,800,0.9,0.11809,0.26709,1,0.10969,0.98852,0.14449
000068_lcam_front_lidar.ply,0.2,800,0.9,0.11943,0.25643,1,0.10466,0.98834,0.15181
000069_lcam_front_lidar.ply,0.2,800,0.9,0.10158,0.25333,1,0.09192,0.98847,0.13464
000070_lcam_front_lidar.ply,0.2,800,0.9,0.09922,0.24938,1,0.10158,0.98808,0.16274
000071_lcam_front_lidar.ply,0.2,800,0.9,0.11431,0.2435,1,0.09879,0.98776,0.16079
000072_lcam_front_lidar.ply,0.2,800,0.9,0.10274,0.25364,1,0.08511,0.98862,0.12086
000073_lcam_front_lidar.ply,0.2,800,0.9,0.10783,0.24033,1,0.08436,0.98505,0.14204
000074_lcam_front_lidar.ply,0.2,800,0.9,0.12249,0.26826,1,0.11399,0.98792,0.14501
000075_lcam_front_lidar.ply,0.2,800,0.9,0.09779,0.27828,1,0.1216,0.98694,0.14494
000076_lcam_front_lidar.ply,0.2,800,0.9,0.08726,0.28526,1,0.12981,0.98654,0.14781
000077_lcam_front_lidar.ply,0.2,800,0.9,0.10714,0.28375,1,0.13237,0.98634,0.15193
000078_lcam_front_lidar.ply,0.2,800,0.9,0.10145,0.29486,1,0.14015,0.98567,0.14734
000079_lcam_front_lidar.ply,0.2,800,0.9,0.10534,0.30662,1,0.1442,0.9867,0.13363
000080_lcam_front_lidar.ply,0.2,800,0.9,0.10407,0.29421,1,0.13035,0.98673,0.12899
000081_lcam_front_lidar.ply,0.2,800,0.9,0.13416,0.30669,1,0.14054,0.98732,0.12264
000082_lcam_front_lidar.ply,0.2,800,0.9,0.13027,0.29224,1,0.10833,0.98669,0.07999
000083_lcam_front_lidar.ply,0.2,800,0.9,0.12009,0.32636,1,0.16536,0.98703,0.13561
000084_lcam_front_lidar.ply,0.2,800,0.9,0.12758,0.32759,1,0.16988,0.98631,0.14116
000085_lcam_front_lidar.ply,0.2,800,0.9,0.10122,0.34372,1,0.18056,0.98683,0.13695
000086_lcam_front_lidar.ply,0.2,800,0.9,0.10954,0.33406,1,0.17883,0.98623,0.14356
000087_lcam_front_lidar.ply,0.2,800,0.9,0.14447,0.33219,1,0.17728,0.98613,0.1406
000088_lcam_front_lidar.ply,0.2,800,0.9,0.1237,0.33521,1,0.17284,0.98689,0.1265
000089_lcam_front_lidar.ply,0.2,800,0.9,0.12257,0.33763,1,0.17013,0.98692,0.11827
000090_lcam_front_lidar.ply,0.2,800,0.9,0.1121,0.3294,1,0.17515,0.98646,0.14362
000091_lcam_front_lidar.ply,0.2,800,0.9,0.11869,0.31167,1,0.15718,0.98657,0.14089
000092_lcam_front_lidar.ply,0.2,800,0.9,0.10148,0.3056,1,0.15339,0.98786,0.15086
000093_lcam_front_lidar.ply,0.2,800,0.9,0.09614,0.27712,1,0.1144,0.98557,0.13233
000094_lcam_front_lidar.ply,0.2,800,0.9,0.09117,0.31707,1,0.16184,0.98752,0.14544
000095_lcam_front_lidar.ply,0.2,800,0.9,0.11059,0.31214,1,0.14939,0.98819,0.12715
000096_lcam_front_lidar.ply,0.2,800,0.9,0.10906,0.30554,1,0.14167,0.98673,0.12856
000097_lcam_front_lidar.ply,0.2,800,0.9,0.11036,0.32387,1,0.17713,0.98766,0.16261
000098_lcam_front_lidar.ply,0.2,800,0.9,0.11872,0.3236,1,0.18134,0.9878,0.16634
000099_lcam_front_lidar.ply,0.2,800,0.9,0.11299,0.31967,1,0.17045,0.98808,0.16091
000100_lcam_front_lidar.ply,0.2,800,0.9,0.20831,0.30288,1,0.1587,0.98867,0.14603
000101_lcam_front_lidar.ply,0.2,800,0.9,0.17252,0.30322,1,0.16591,0.98739,0.16999
000102_lcam_front_lidar.ply,0.2,800,0.9,0.14901,0.31348,1,0.16623,0.98903,0.15491
000103_lcam_front_lidar.ply,0.2,800,0.9,0.15901,0.31236,1,0.18083,0.98845,0.17923
000104_lcam_front_lidar.ply,0.2,800,0.9,0.16523,0.29772,1,0.16278,0.98831,0.17473
000105_lcam_front_lidar.ply,0.2,800,0.9,0.2431,0.29082,1,0.17429,0.98895,0.19306
000106_lcam_front_lidar.ply,0.2,800,0.9,0.15914,0.2923,1,0.17219,0.99035,0.20183
000107_lcam_front_lidar.ply,0.2,800,0.9,0.0957,0.29651,1,0.15902,0.98925,0.182
000108_lcam_front_lidar.ply,0.2,800,0.9,0.13434,0.26592,1,0.11997,0.99014,0.15538
