frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.08269,0.30745,1,0.15289,0.95293,0.14512
000001_lcam_front_lidar.ply,0.2,800,0.9,0.08553,0.29994,1,0.14584,0.9479,0.14152
000002_lcam_front_lidar.ply,0.2,800,0.9,0.08343,0.29315,1,0.13777,0.94661,0.14624
000003_lcam_front_lidar.ply,0.2,800,0.9,0.0769,0.30958,1,0.15108,0.9442,0.14074
000004_lcam_front_lidar.ply,0.2,800,0.9,0.09064,0.30965,1,0.15479,0.94383,0.14358
000005_lcam_front_lidar.ply,0.2,800,0.9,0.0837,0.30927,1,0.1541,0.94116,0.14952
000006_lcam_front_lidar.ply,0.2,800,0.9,0.06243,0.30112,1,0.16077,0.93664,0.17336
000007_lcam_front_lidar.ply,0.2,800,0.9,0.0717,0.30495,1,0.1592,0.94221,0.16047
000008_lcam_front_lidar.ply,0.2,800,0.9,0.08325,0.30805,1,0.1613,0.93899,0.16203
000009_lcam_front_lidar.ply,0.2,800,0.9,0.07772,0.3041,1,0.16871,0.93421,0.17982
000010_lcam_front_lidar.ply,0.2,800,0.9,0.08657,0.31043,1,0.1771,0.94169,0.18598
000011_lcam_front_lidar.ply,0.2,800,0.9,0.07785,0.3047,1,0.17685,0.94347,0.19252
000012_lcam_front_lidar.ply,0.2,800,0.9,0.08341,0.31127,1,0.17902,0.94685,0.1836
000013_lcam_front_lidar.ply,0.2,800,0.9,0.08231,0.29476,1,0.15853,0.9542,0.18029
000014_lcam_front_lidar.ply,0.2,800,0.9,0.0807,0.31087,1,0.1748,0.9525,0.17701
000015_lcam_front_lidar.ply,0.2,800,0.9,0.08135,0.31034,1,0.18206,0.94771,0.19119
000016_lcam_front_lidar.ply,0.2,800,0.9,0.07236,0.31505,1,0.18062,0.94553,0.18487
000017_lcam_front_lidar.ply,0.2,800,0.9,0.10128,0.30389,1,0.17187,0.94501,0.17865
000018_lcam_front_lidar.ply,0.2,800,0.9,0.07573,0.30838,1,0.16199,0.94923,0.15871
000019_lcam_front_lidar.ply,0.2,800,0.9,0.0804,0.30882,1,0.16316,0.94464,0.15428
000020_lcam_front_lidar.ply,0.2,800,0.9,0.07943,0.30828,1,0.1586,0.94505,0.14979
000021_lcam_front_lidar.ply,0.2,800,0.9,0.08575,0.2934,1,0.14255,0.94502,0.14203
000022_lcam_front_lidar.ply,0.2,800,0.9,0.06132,0.29866,1,0.13494,0.94369,0.12838
000023_lcam_front_lidar.ply,0.2,800,0.9,0.05943,0.29664,1,0.1356,0.948,0.13256
000024_lcam_front_lidar.ply,0.2,800,0.9,0.07052,0.27479,1,0.13265,0.94779,0.16211
000025_lcam_front_lidar.ply,0.2,800,0.9,0.05979,0.28721,1,0.1405,0.94463,0.15878
000026_lcam_front_lidar.ply,0.2,800,0.9,0.06281,0.26029,1,0.12178,0.93428,0.17067
000027_lcam_front_lidar.ply,0.2,800,0.9,0.05674,0.25318,1,0.11707,0.93487,0.18224
000028_lcam_front_lidar.ply,0.2,800,0.9,0.08012,0.25965,1,0.11693,0.93755,0.17071
000029_lcam_front_lidar.ply,0.2,800,0.9,0.08503,0.2483,1,0.10714,0.94352,0.16808
000030_lcam_front_lidar.ply,0.2,800,0.9,0.08341,0.23851,1,0.09521,0.93505,0.16416
