frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.1539,0.24596,1,0.11644,0.91216,0.19668
000001_lcam_front_lidar.ply,0.2,800,0.9,0.21809,0.23125,1,0.13003,0.93315,0.24017
000002_lcam_front_lidar.ply,0.2,800,0.9,0.15169,0.24343,1,0.12063,0.91853,0.21278
000003_lcam_front_lidar.ply,0.2,800,0.9,0.14984,0.23228,1,0.12407,0.92665,0.23602
000004_lcam_front_lidar.ply,0.2,800,0.9,0.17545,0.2047,1,0.0553,0.86826,0.15379
000005_lcam_front_lidar.ply,0.2,800,0.9,0.15286,0.18721,1,0.07517,0.93709,0.2259
000006_lcam_front_lidar.ply,0.2,800,0.9,0.12756,0.20479,1,0.08633,0.9072,0.2227
000007_lcam_front_lidar.ply,0.2,800,0.9,0.13906,0.19936,1,0.08022,0.89407,0.21709
000008_lcam_front_lidar.ply,0.2,800,0.9,0.15504,0.18368,1,0.07043,0.88929,0.22715
000009_lcam_front_lidar.ply,0.2,800,0.9,0.13135,0.20799,1,0.08438,0.89258,0.2025
000010_lcam_front_lidar.ply,0.2,800,0.9,0.13545,0.21213,1,0.08615,0.89344,0.20036
000011_lcam_front_lidar.ply,0.2,800,0.9,0.12292,0.20363,1,0.07946,0.89116,0.20746
000012_lcam_front_lidar.ply,0.2,800,0.9,0.11788,0.20431,1,0.08114,0.87989,0.20791
000013_lcam_front_lidar.ply,0.2,800,0.9,0.10851,0.19863,1,0.08042,0.90086,0.21979
000014_lcam_front_lidar.ply,0.2,800,0.9,0.10717,0.19552,1,0.07098,0.89981,0.20796
000015_lcam_front_lidar.ply,0.2,800,0.9,0.09858,0.20505,1,0.0817,0.89238,0.21346
000016_lcam_front_lidar.ply,0.2,800,0.9,0.11027,0.21987,1,0.0963,0.89813,0.20816
000017_lcam_front_lidar.ply,0.2,800,0.9,0.09687,0.20913,1,0.07763,0.88687,0.19729
