frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.06287,0.49825,1,0.27067,0.00145,0.02959
000001_lcam_front_lidar.ply,0.2,800,0.9,0.05407,0.49828,1,0.27137,0.00284,0.03085
000002_lcam_front_lidar.ply,0.2,800,0.9,0.06018,0.50489,1,0.27717,0.00403,0.02968
000003_lcam_front_lidar.ply,0.2,800,0.9,0.0625,0.50393,1,0.27697,0.00263,0.02972
000004_lcam_front_lidar.ply,0.2,800,0.9,0.07023,0.50565,1,0.27887,0.00037,0.02882
000005_lcam_front_lidar.ply,0.2,800,0.9,0.05534,0.51614,1,0.28797,0.00032,0.02826
000006_lcam_front_lidar.ply,0.2,800,0.9,0.06024,0.51771,1,0.29002,0.00072,0.0296
000007_lcam_front_lidar.ply,0.2,800,0.9,0.05229,0.52085,1,0.29157,0.00155,0.02884
000008_lcam_front_lidar.ply,0.2,800,0.9,0.06226,0.52576,1,0.29883,0.00282,0.02979
000009_lcam_front_lidar.ply,0.2,800,0.9,0.06348,0.53174,1,0.3054,0.00112,0.03059
000010_lcam_front_lidar.ply,0.2,800,0.9,0.05458,0.53703,1,0.31069,0.00477,0.03184
000011_lcam_front_lidar.ply,0.2,800,0.9,0.05517,0.54002,1,0.31343,0.00329,0.03124
000012_lcam_front_lidar.ply,0.2,800,0.9,0.06359,0.54232,1,0.31758,0.00187,0.03302
000013_lcam_front_lidar.ply,0.2,800,0.9,0.06247,0.54496,1,0.32046,0.0019,0.03297
000014_lcam_front_lidar.ply,0.2,800,0.9,0.05171,0.54851,1,0.32252,0.00364,0.0331
000015_lcam_front_lidar.ply,0.2,800,0.9,0.05774,0.55232,1,0.32731,0.00331,0.03414
000016_lcam_front_lidar.ply,0.2,800,0.9,0.05514,0.55267,1,0.32696,0.00191,0.03255
000017_lcam_front_lidar.ply,0.2,800,0.9,0.06274,0.54847,1,0.32543,0.00121,0.03307
000018_lcam_front_lidar.ply,0.2,800,0.9,0.05948,0.55195,1,0.32726,0.00118,0.03372
000019_lcam_front_lidar.ply,0.2,800,0.9,0.05841,0.55281,1,0.32807,0.00175,0.0334
000020_lcam_front_lidar.ply,0.2,800,0.9,0.05466,0.55146,1,0.3269,0.00173,0.03374
000021_lcam_front_lidar.ply,0.2,800,0.9,0.05863,0.55233,1,0.32861,0.00294,0.03327
000022_lcam_front_lidar.ply,0.2,800,0.9,0.05944,0.54939,1,0.32505,0.00138,0.03382
000023_lcam_front_lidar.ply,0.2,800,0.9,0.05515,0.55254,1,0.32677,0.00274,0.0331
000024_lcam_front_lidar.ply,0.2,800,0.9,0.046,0.54483,1,0.3183,0.00201,0.03392
000025_lcam_front_lidar.ply,0.2,800,0.9,0.0555,0.54734,1,0.32325,0.00176,0.03416
000026_lcam_front_lidar.ply,0.2,800,0.9,0.05947,0.53895,1,0.31366,0.00204,0.03379
000027_lcam_front_lidar.ply,0.2,800,0.9,0.04567,0.54267,1,0.31922,0.00037,0.0337
000028_lcam_front_lidar.ply,0.2,800,0.9,0.05205,0.54059,1,0.31431,0.0002,0.03532
000029_lcam_front_lidar.ply,0.2,800,0.9,0.04859,0.53737,1,0.3129,0.00153,0.03496
000030_lcam_front_lidar.ply,0.2,800,0.9,0.04852,0.53359,1,0.30903,0.00265,0.03598
000031_lcam_front_lidar.ply,0.2,800,0.9,0.0424,0.53258,1,0.30928,0.00417,0.03755
000032_lcam_front_lidar.ply,0.2,800,0.9,0.04927,0.53402,1,0.3092,0.00373,0.03684
000033_lcam_front_lidar.ply,0.2,800,0.9,0.04962,0.53224,1,0.30782,0.00521,0.03662
000034_lcam_front_lidar.ply,0.2,800,0.9,0.0546,0.53273,1,0.3083,0.006,0.03749
000035_lcam_front_lidar.ply,0.2,800,0.9,0.04127,0.53267,1,0.30977,0.01058,0.04052
000036_lcam_front_lidar.ply,0.2,800,0.9,0.04582,0.52919,1,0.3068,0.00786,0.03988
000037_lcam_front_lidar.ply,0.2,800,0.9,0.049,0.52842,1,0.30628,0.00968,0.03986
