frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000_lcam_front_lidar.ply,0.2,800,0.9,0.06108,0.44424,1,0.22044,0.0071,0.0283
000001_lcam_front_lidar.ply,0.2,800,0.9,0.05364,0.44727,1,0.22151,0.00665,0.02773
000002_lcam_front_lidar.ply,0.2,800,0.9,0.05678,0.43778,1,0.21419,0.0082,0.02987
000003_lcam_front_lidar.ply,0.2,800,0.9,0.0333,0.43831,1,0.21183,0.00824,0.02855
000004_lcam_front_lidar.ply,0.2,800,0.9,0.06395,0.43819,1,0.21481,0.00944,0.03084
000005_lcam_front_lidar.ply,0.2,800,0.9,0.04562,0.43787,1,0.21248,0.00414,0.02637
000006_lcam_front_lidar.ply,0.2,800,0.9,0.04859,0.43229,1,0.20569,0.00473,0.02506
000007_lcam_front_lidar.ply,0.2,800,0.9,0.06133,0.42367,1,0.19936,0.00481,0.02646
000008_lcam_front_lidar.ply,0.2,800,0.9,0.06694,0.41826,1,0.19436,0.00234,0.02818
000009_lcam_front_lidar.ply,0.2,800,0.9,0.05382,0.41897,1,0.19531,0.00288,0.0291
000010_lcam_front_lidar.ply,0.2,800,0.9,0.0611,0.4165,1,0.19133,0.00153,0.02915
000011_lcam_front_lidar.ply,0.2,800,0.9,0.04924,0.41676,1,0.19075,0.00238,0.02897
000012_lcam_front_lidar.ply,0.2,800,0.9,0.05543,0.41845,1,0.19377,0.00198,0.02947
000013_lcam_front_lidar.ply,0.2,800,0.9,0.05296,0.40815,1,0.18565,0.00162,0.03062
000014_lcam_front_lidar.ply,0.2,800,0.9,0.06133,0.4088,1,0.18635,0.00102,0.03095
000015_lcam_front_lidar.ply,0.2,800,0.9,0.05109,0.40441,1,0.17917,0.00187,0.03002
000016_lcam_front_lidar.ply,0.2,800,0.9,0.04945,0.40191,1,0.1773,0.001,0.02861
000017_lcam_front_lidar.ply,0.2,800,0.9,0.06307,0.39441,1,0.17107,0.0002,0.02869
000018_lcam_front_lidar.ply,0.2,800,0.9,0.05722,0.39524,1,0.172,0.00033,0.02919
000019_lcam_front_lidar.ply,0.2,800,0.9,0.04566,0.39303,1,0.16933,0.00533,0.03281
000020_lcam_front_lidar.ply,0.2,800,0.9,0.04735,0.39208,1,0.17032,0.00875,0.03567
000021_lcam_front_lidar.ply,0.2,800,0.9,0.05525,0.39194,1,0.16725,0.0048,0.0291
000022_lcam_front_lidar.ply,0.2,800,0.9,0.07122,0.38239,1,0.16263,0.00849,0.03356
000023_lcam_front_lidar.ply,0.2,800,0.9,0.06883,0.3782,1,0.15881,0.00968,0.03318
000024_lcam_front_lidar.ply,0.2,800,0.9,0.0601,0.37752,1,0.15849,0.01056,0.03633
000025_lcam_front_lidar.ply,0.2,800,0.9,0.0491,0.37362,1,0.15469,0.0162,0.04057
000026_lcam_front_lidar.ply,0.2,800,0.9,0.06513,0.36886,1,0.14568,0.00222,0.02834
000027_lcam_front_lidar.ply,0.2,800,0.9,0.05539,0.3683,1,0.14577,0.00343,0.0298
000028_lcam_front_lidar.ply,0.2,800,0.9,0.05089,0.36258,1,0.13941,0.00431,0.02931
000029_lcam_front_lidar.ply,0.2,800,0.9,0.05194,0.36317,1,0.13855,0.00238,0.02768
000030_lcam_front_lidar.ply,0.2,800,0.9,0.05524,0.35749,1,0.13399,0.00386,0.02694
000031_lcam_front_lidar.ply,0.2,800,0.9,0.04145,0.35914,1,0.13483,0.00596,0.02999
000032_lcam_front_lidar.ply,0.2,800,0.9,0.05336,0.23848,1,0.0,0.0,0.0
000033_lcam_front_lidar.ply,0.2,800,0.9,0.05133,0.35451,1,0.12994,0.00406,0.02652
000034_lcam_front_lidar.ply,0.2,800,0.9,0.04535,0.23745,1,0.0,0.0,0.0
000035_lcam_front_lidar.ply,0.2,800,0.9,0.06128,0.23847,1,0.0,0.0,0.0
000036_lcam_front_lidar.ply,0.2,800,0.9,0.07086,0.23551,1,0.0,0.0,0.0
000037_lcam_front_lidar.ply,0.2,800,0.9,0.07087,0.2377,1,0.0,0.0,0.0
000038_lcam_front_lidar.ply,0.2,800,0.9,0.05307,0.23878,1,0.0,0.0,0.0
000039_lcam_front_lidar.ply,0.2,800,0.9,0.06468,0.23566,1,0.0,0.0,0.0
000040_lcam_front_lidar.ply,0.2,800,0.9,0.06711,0.23618,1,0.0,0.0,0.0
000041_lcam_front_lidar.ply,0.2,800,0.9,0.05967,0.23608,1,0.0,0.0,0.0
000042_lcam_front_lidar.ply,0.2,800,0.9,0.07497,0.33162,1,0.10905,0.00478,0.02347
000043_lcam_front_lidar.ply,0.2,800,0.9,0.06375,0.23694,1,0.0,0.0,0.0
000044_lcam_front_lidar.ply,0.2,800,0.9,0.07214,0.23669,1,0.0,0.0,0.0
000045_lcam_front_lidar.ply,0.2,800,0.9,0.06543,0.32807,1,0.10473,0.00502,0.02412
000046_lcam_front_lidar.ply,0.2,800,0.9,0.06309,0.23523,1,0.0,0.0,0.0
000047_lcam_front_lidar.ply,0.2,800,0.9,0.05496,0.23747,1,0.0,0.0,0.0
000048_lcam_front_lidar.ply,0.2,800,0.9,0.08347,0.2354,1,0.0,0.0,0.0
000049_lcam_front_lidar.ply,0.2,800,0.9,0.0673,0.2348,1,0.0,0.0,0.0
000050_lcam_front_lidar.ply,0.2,800,0.9,0.06315,0.23705,1,0.0,0.0,0.0
000051_lcam_front_lidar.ply,0.2,800,0.9,0.07966,0.31523,1,0.09159,0.00785,0.0225
000052_lcam_front_lidar.ply,0.2,800,0.9,0.07545,0.23475,1,0.0,0.0,0.0
000053_lcam_front_lidar.ply,0.2,800,0.9,0.07748,0.23571,1,0.0,0.0,0.0
000054_lcam_front_lidar.ply,0.2,800,0.9,0.06311,0.23742,1,0.0,0.0,0.0
000055_lcam_front_lidar.ply,0.2,800,0.9,0.07893,0.23429,1,0.0,0.0,0.0
000056_lcam_front_lidar.ply,0.2,800,0.9,0.07763,0.23431,1,0.0,0.0,0.0
000057_lcam_front_lidar.ply,0.2,800,0.9,0.09088,0.23283,1,0.0,0.0,0.0
000058_lcam_front_lidar.ply,0.2,800,0.9,0.08956,0.30978,1,0.08504,0.00911,0.02101
000059_lcam_front_lidar.ply,0.2,800,0.9,0.08008,0.23436,1,0.0,0.0,0.0
000060_lcam_front_lidar.ply,0.2,800,0.9,0.10124,0.30546,1,0.07659,0.00023,0.01131
000061_lcam_front_lidar.ply,0.2,800,0.9,0.09305,0.23495,1,0.0,0.0,0.0
000062_lcam_front_lidar.ply,0.2,800,0.9,0.07964,0.23435,1,0.0,0.0,0.0
000063_lcam_front_lidar.ply,0.2,800,0.9,0.08311,0.23451,1,0.0,0.0,0.0
000064_lcam_front_lidar.ply,0.2,800,0.9,0.08257,0.23543,1,0.0,0.0,0.0
000065_lcam_front_lidar.ply,0.2,800,0.9,0.08974,0.23378,1,0.0,0.0,0.0
