frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000291_lcam_front_lidar.ply,0.4,100,0.9,0.15677,0.23416,1,0.00957,0.96016,0.00792
000120_lcam_front_lidar.ply,0.2,800,0.9,0.0805,0.0,1,0.36673,0.02457,0.03169
000120_lcam_front_lidar.ply,0.25,200,0.9,0.05718,0.54309,2,0.36673,0.02457,0.03169
000194_lcam_front_lidar.ply,0.5,500,0.9,0.08912,0.35718,1,0.2429,0.99997,0.24027
000778_lcam_front_lidar.ply,0.1,300,0.9,0.33551,0.20964,1,0.01911,0.99974,0.03759
000258_lcam_front_lidar.ply,0.2,100,0.9,0.5248,0.0,1,0.00775,0.99972,0.00639
000258_lcam_front_lidar.ply,0.4,800,0.9,0.18168,0.17731,2,0.04424,0.99998,0.07966
001500_lcam_front_lidar.ply,0.5,800,0.9,0.03155,0.0,1,0.22815,0.99104,0.21053
001500_lcam_front_lidar.ply,0.2,100,0.9,0.04278,0.0,2,0.03867,0.88651,0.04363
001500_lcam_front_lidar.ply,0.5,500,0.9,0.029,0.0,3,0.34957,0.82121,0.37957
001500_lcam_front_lidar.ply,0.2,100,0.9,0.04752,0.11903,4,0.02863,0.8752,0.00708
001763_lcam_front_lidar.ply,0.05,500,0.9,0.03598,0.0,1,0.17998,1e-05,0.00063
001763_lcam_front_lidar.ply,0.3,500,0.9,0.04138,0.0,2,0.30619,0.36958,0.2313
001763_lcam_front_lidar.ply,0.5,100,0.9,0.0336,0.31967,3,0.33993,0.973,0.32727
000492_lcam_front_lidar.ply,0.25,800,0.9,0.14962,0.3079,1,0.21582,0.97466,0.27419
000806_lcam_front_lidar.ply,0.05,200,0.9,0.31374,0.207,1,0.0,0.0,0.0
001184_lcam_front_lidar.ply,0.25,500,0.9,0.19901,0.22235,1,0.0,0.0,0.0
000120_lcam_front_lidar.ply,0.05,800,0.9,0.06543,0.0,1,0.0,0.0,0.0
