frame_id,epsilon,min_support,normal_threshold,runtime,reward,steps_used,inlier_ratio,plane_normal,residual
000000.ply,0.15,500,0.85,0.15628,0.42384,1,0.33669,0.99959,0.10558
000001.ply,0.15,500,0.85,0.15818,0.42249,1,0.3342,0.99961,0.10331
000002.ply,0.15,500,0.85,0.1976,0.42207,1,0.33448,0.99963,0.10471
000003.ply,0.15,500,0.85,0.1753,0.42703,1,0.3427,0.99967,0.11123
000004.ply,0.15,500,0.85,0.1827,0.4279,1,0.34242,0.99964,0.10894
000005.ply,0.15,500,0.85,0.17245,0.42362,1,0.33736,0.99964,0.10736
000006.ply,0.15,500,0.8,0.16989,0.45298,1,0.37009,0.99967,0.11412
000007.ply,0.15,500,0.85,0.17994,0.42602,1,0.33677,0.99957,0.10138
000008.ply,0.15,800,0.8,0.16554,0.46007,1,0.3816,0.99976,0.12299
000009.ply,0.15,500,0.85,0.16586,0.42671,1,0.33937,0.99965,0.10521
000010.ply,0.15,500,0.85,0.1688,0.43082,1,0.34885,0.99978,0.11599
000011.ply,0.15,500,0.85,0.17539,0.42667,1,0.34287,0.99977,0.11233
000012.ply,0.15,500,0.85,0.17692,0.43353,1,0.35038,0.99971,0.11363
000013.ply,0.15,500,0.85,0.17963,0.43223,1,0.34689,0.99969,0.10923
000014.ply,0.15,500,0.85,0.17616,0.42621,1,0.33971,0.9997,0.10691
000015.ply,0.15,500,0.85,0.17283,0.43107,1,0.34708,0.99975,0.11195
000016.ply,0.15,500,0.85,0.16591,0.42953,1,0.34407,0.99969,0.10898
000017.ply,0.15,500,0.85,0.1761,0.4379,1,0.35827,0.99977,0.12067
000018.ply,0.15,500,0.85,0.16167,0.42678,1,0.33807,0.99967,0.10247
000019.ply,0.15,500,0.85,0.17315,0.43085,1,0.34447,0.99973,0.10716
