survey,file,color_mode,n_points,gt_pct,found,pred_pct,angle_from_vertical_deg,iou_vs_real_ground,eps,min_supp,norm_th
sawpit_wash,406000_3781000.ply,height,1750063,28.66,False,0.0,,,0.08,8750,0.85
sawpit_wash,408000_3780000.ply,height,1117348,32.17,False,0.0,,,0.08,5587,0.85
ridgecrest,CA19_pt_000011_1.ply,height,166207,0.0,True,47.94,0.27,,0.08,1247,0.6
ridgecrest,CA19_pt_000035_1.ply,height,240474,0.0,True,85.42,0.14,,0.08,1804,0.7
sawpit_wash,409000_3780000.ply,height,1079211,23.63,False,0.0,,,0.08,5396,0.85
ridgecrest,CA19_pt_000053_1.ply,height,191908,0.0,True,69.77,0.43,,0.08,3838,0.6
rock_glaciers,CO25_261000_4207000.ply,height,1811793,59.93,False,0.0,,,0.08,9059,0.85
ridgecrest,CA19_pt_000057_1.ply,height,161012,0.0,True,95.81,0.33,,0.08,3220,0.6
sawpit_wash,411000_3780000.ply,height,1490237,25.65,False,0.0,,,0.08,7451,0.85
ridgecrest,CA19_pt_000060_1.ply,height,168493,0.0,True,40.17,0.57,,0.08,1264,0.6
rock_glaciers,CO25_262000_4207000.ply,height,1855793,43.58,False,0.0,,,0.08,9279,0.85
sawpit_wash,413000_3781000.ply,height,1539978,25.99,False,0.0,,,0.08,7700,0.85
rock_glaciers,CO25_263000_4202000.ply,height,1690825,74.55,False,0.0,,,0.08,8454,0.85
san_andreas_fault,CA17_701000_4006000.ply,height,4755959,53.73,False,0.0,,,0.08,23780,0.85
dune_dune_interactions,CA22_707000_3755000.ply,height,1474888,90.1,False,0.0,,,0.08,14749,0.6
dune_dune_interactions,CA22_707000_3756000.ply,height,1806770,93.18,False,0.0,,,0.08,36135,0.6
deltaic_wetlands,LA23_252000_3253000.ply,height,1986471,7.46,False,0.0,,,0.08,14899,0.6
dune_dune_interactions,CA22_712000_3760000.ply,height,1927092,98.22,False,0.0,,,0.08,19271,0.6
sacramento_river,CA23river_56554510.ply,height,494027,14.16,True,1.79,1.38,0.0498,0.08,2470,0.85
deltaic_wetlands,LA23_253000_3257000.ply,height,2014342,13.83,False,0.0,,,0.08,15108,0.6
sacramento_river,CA23river_56554705.ply,height,533952,11.84,False,0.0,,,0.08,2670,0.85
sacramento_river,CA23river_56654625.ply,height,596448,32.76,True,13.74,1.86,0.2272,0.08,2982,0.85
deltaic_wetlands,LA23_254000_3258000.ply,height,1524568,14.28,False,0.0,,,0.08,11434,0.7
coastal_dune_erosion,CA25_604000_4053000.ply,height,1961904,26.83,True,10.24,0.01,0.1138,0.08,9810,0.85
coastal_dune_erosion,CA25_605000_4060000.ply,height,2112041,47.8,True,5.83,1.43,0.0386,0.08,10560,0.85
coastal_dune_erosion,CA25_608000_4068000.ply,height,1586507,17.78,False,0.0,,,0.08,15865,0.6
dune_dune_interactions,CA22_707000_3755000.ply,height,1474888,90.1,False,0.0,,,0.08,14749,0.6
deltaic_wetlands,LA23_252000_3253000.ply,height,1986471,7.46,False,0.0,,,0.08,14899,0.6
deltaic_wetlands,LA23_253000_3257000.ply,height,2014342,13.83,False,0.0,,,0.08,15108,0.6
dune_dune_interactions,CA22_707000_3756000.ply,height,1806770,93.18,False,0.0,,,0.08,36135,0.6
deltaic_wetlands,LA23_254000_3258000.ply,height,1524568,14.28,False,0.0,,,0.08,11434,0.7
dune_dune_interactions,CA22_712000_3760000.ply,height,1927092,98.22,False,0.0,,,0.08,19271,0.6
sacramento_river,CA23river_56554510.ply,height,494027,14.16,True,2.93,0.82,0.0689,0.08,2470,0.85
sacramento_river,CA23river_56554705.ply,height,533952,11.84,False,0.0,,,0.08,2670,0.85
sacramento_river,CA23river_56654625.ply,height,596448,32.76,True,15.68,1.72,0.2539,0.08,2982,0.85
coastal_dune_erosion,CA25_604000_4053000.ply,height,1961904,26.83,True,10.24,0.01,0.1138,0.08,9810,0.85
coastal_dune_erosion,CA25_605000_4060000.ply,height,2112041,47.8,True,5.93,6.95,0.0316,0.08,10560,0.85
coastal_dune_erosion,CA25_608000_4068000.ply,height,1586507,17.78,False,0.0,,,0.08,15865,0.6
