crop,n_points,found,pred_pct,angle_from_vertical_deg,eps,min_supp,norm_th
scene_00024\scan_00202\00024_00202_outdoor_190_000,763272,True,49.67324885492983,19.81996819815478,0.15,7633,0.6
scene_00022\scan_00196\00022_00196_outdoor_330_010,617526,True,24.598154571629372,1.736811232246094,0.15,6175,0.6
scene_00024\scan_00201\00024_00201_outdoor_120_020,782077,True,52.66719261658379,82.50540201109605,0.05,7821,0.6
scene_00022\scan_00197\00022_00197_outdoor_160_010,716798,True,24.074425430874527,2.724164947748454,0.25,10752,0.6
scene_00022\scan_00193\00022_00193_outdoor_100_050,668330,True,21.90549578800892,59.875092880828866,0.08,3342,0.6
scene_00022\scan_00195\00022_00195_outdoor_290_040,652451,True,58.79552640734707,74.1767999526987,0.15,6525,0.6
scene_00024\scan_00202\00024_00202_outdoor_190_000,763272,True,50.145164502300624,19.924013094500864,0.15,7633,0.6
scene_00022\scan_00196\00022_00196_outdoor_330_010,617526,True,24.38261708818738,1.153756495707907,0.15,6175,0.6
scene_00024\scan_00201\00024_00201_outdoor_120_020,782077,True,52.66693688728859,82.49001719346303,0.05,7821,0.6
scene_00022\scan_00197\00022_00197_outdoor_160_010,716798,True,23.977187436348874,2.705643404592286,0.25,10752,0.6
scene_00022\scan_00193\00022_00193_outdoor_100_050,668330,True,20.603743659569375,59.87739696111873,0.08,3342,0.6
scene_00022\scan_00195\00022_00195_outdoor_290_040,652451,True,58.876605292964534,74.15566799162572,0.15,6525,0.6
scene_00022\scan_00194\00022_00194_outdoor_110_020,713876,True,2.73198706778208,13.066478363174806,0.08,3569,0.7
scene_00023\scan_00199\00023_00199_outdoor_030_000,702628,True,47.26057031601359,18.79537305926132,0.08,3513,0.6
scene_00024\scan_00202\00024_00202_outdoor_190_020,623995,True,10.266268159199994,9.35593314062038,0.15,3120,0.6
scene_00024\scan_00202\00024_00202_outdoor_070_010,648185,True,29.412127710453035,3.7332937105827333,0.08,3241,0.6
scene_00024\scan_00201\00024_00201_outdoor_140_020,771861,True,2.001655738533233,13.081344893290424,0.05,7719,0.6
scene_00022\scan_00193\00022_00193_outdoor_170_010,633514,True,18.301568710399454,2.4807524525387885,0.08,3168,0.6
scene_00022\scan_00195\00022_00195_outdoor_290_000,737810,True,52.171561784199184,14.551791793454035,0.08,11067,0.6
scene_00022\scan_00194\00022_00194_outdoor_050_030,528481,True,3.322730618508518,19.451763421082823,0.15,2642,0.6
scene_00022\scan_00197\00022_00197_outdoor_310_020,668236,True,5.265355353497866,21.325554584645307,0.15,3341,0.6
scene_00024\scan_00201\00024_00201_outdoor_130_010,778172,True,16.902175868574044,0.7270775810763953,0.1,11673,0.6
scene_00022\scan_00197\00022_00197_outdoor_220_040,671955,True,55.12854283396954,71.9722946922773,0.08,3360,0.7
scene_00022\scan_00197\00022_00197_outdoor_260_040,734482,True,41.5103433440166,68.82308133050049,0.05,7345,0.6
scene_00023\scan_00200\00023_00200_outdoor_000_050,496044,True,5.406576835925845,25.433240997089694,0.25,4960,0.6
scene_00022\scan_00194\00022_00194_outdoor_040_020,621394,True,4.782312027473712,20.319450553835612,0.15,3107,0.7
scene_00022\scan_00193\00022_00193_outdoor_060_000,710352,True,7.326367772597248,11.27613093274873,0.15,3552,0.6
scene_00024\scan_00201\00024_00201_outdoor_090_030,699456,True,1.9076253545612591,21.452849993114192,0.15,3497,0.6
scene_00022\scan_00195\00022_00195_outdoor_330_020,685188,True,3.9133785180125744,21.47103894952343,0.15,3426,0.6
scene_00022\scan_00195\00022_00195_outdoor_250_000,618501,True,50.37792986591776,16.963706442285996,0.1,9278,0.6
