scene,frame,n_points,found,pred_pct,angle_from_vertical_deg,eps,min_supp,norm_th
GothicIsland,000394_lcam_front.png,404048,True,42.31254702411595,,0.15,4040,0.6
GothicIsland,000430_lcam_front.png,409406,True,43.90287391977646,,0.08,4094,0.6
GothicIsland,000041_lcam_front.png,409600,True,31.825439453125,,0.25,6144,0.6
GothicIsland,000265_lcam_front.png,383288,True,33.90035691177392,,0.08,1916,0.6
GothicIsland,000523_lcam_front.png,342659,True,47.009709361201665,,0.08,1713,0.6
SeasideTown,000394_lcam_front.png,409600,True,2.630859375,,0.08,6144,0.6
SeasideTown,000430_lcam_front.png,350528,True,30.822929979916015,,0.08,1753,0.6
SeasideTown,000041_lcam_front.png,409600,True,22.426513671875,,0.08,2048,0.6
SeasideTown,000265_lcam_front.png,301344,True,2.414516300307954,,0.15,1507,0.6
SeasideTown,000523_lcam_front.png,408020,True,25.923729228959363,,0.15,2040,0.6
GreatMarsh,003458_lcam_front.png,265516,True,9.278160261528495,,0.15,2655,0.6
GreatMarsh,001577_lcam_front.png,278209,True,62.88329996513412,,0.08,2087,0.6
GreatMarsh,003104_lcam_front.png,345231,True,9.328246883970442,,0.08,3452,0.6
GreatMarsh,003646_lcam_front.png,228697,True,27.553050542858017,,0.08,2287,0.6
GreatMarsh,001722_lcam_front.png,276450,True,67.97033821667571,,0.08,2764,0.6
NordicHarbor,001577_lcam_front.png,346790,True,46.8998529369359,,0.08,1734,0.6
NordicHarbor,003104_lcam_front.png,377286,True,42.75774876353747,,0.08,1886,0.6
NordicHarbor,001722_lcam_front.png,368225,True,38.443614637789395,,0.08,3682,0.6
NordicHarbor,000165_lcam_front.png,357196,True,35.58522491853212,,0.08,1786,0.6
NordicHarbor,001060_lcam_front.png,350873,True,34.53386267965902,,0.15,1754,0.6
