seq,frame,n_points,gt_ground_pct,gt_water_pct,found,pred_pct,angle_from_vertical_deg,iou_vs_ground,eps,min_supp,norm_th
K-01,1624326467.094426445.ply,131950,77.66654035619553,0.0,True,71.44524441076166,,,0.08,1320,0.6
K-01,1624327476.527187781.ply,167716,42.25714898995921,0.0,True,36.02578167855184,,,0.15,1677,0.6
K-01,1624327916.449706280.ply,121564,26.919976308775624,0.0,True,19.1372445789872,,,0.15,1216,0.6
K-01,1624328845.210809961.ply,81670,13.55577323374556,0.0,True,7.42622750091833,,,0.15,817,0.6
K-03,1639435021.379110297.ply,101993,46.64633847420902,0.0,True,40.38218309099644,,,0.15,1020,0.6
K-03,1639436402.868330700.ply,103054,26.699594387408542,0.0,True,23.199487647252898,,,0.15,1031,0.6
K-03,1639439499.761021158.ply,78707,8.908991576352802,0.0,True,6.309476920731321,,,0.15,394,0.6
K-03,1639440831.095969471.ply,73513,26.457905404486283,0.0,True,23.114279107096706,,,0.15,368,0.6
V-01,1623378861.822301600.ply,109979,31.010465634348378,0.0,True,17.552441829803872,,,0.08,1100,0.6
V-01,1623379014.112301600.ply,74150,43.618341200269725,0.0,True,31.753202966958867,,,0.08,742,0.6
V-01,1623379177.082301600.ply,32698,39.90763961098538,0.0,True,13.02831977490978,,,0.08,327,0.6
V-01,1623379783.412250608.ply,106811,21.85449064234957,0.0,True,16.395315089269832,,,0.15,534,0.6
V-02,1623370473.015957298.ply,107382,35.66892030321655,0.0,True,29.01510495241288,,,0.15,1074,0.6
V-02,1623371286.540455306.ply,98607,36.351374648858595,0.0,True,31.00185585201862,,,0.15,493,0.7
V-02,1623371836.741658700.ply,90040,20.482007996446026,0.0,True,13.743891603731676,,,0.15,900,0.6
V-02,1623372132.281655777.ply,44347,30.890477371637314,0.0,True,18.589758044512593,,,0.15,443,0.6
V-03,1639697445.159429291.ply,83415,24.418869507882278,0.0,True,11.507522627824732,,,0.15,834,0.6
V-03,1639699912.398798500.ply,117784,25.292909053861308,0.0,True,17.39115669360864,,,0.15,589,0.6
V-03,1639700060.897559769.ply,85281,23.7356503793342,0.0,True,17.070625344449525,,,0.2,853,0.6
V-03,1639700261.232516134.ply,71994,43.72725504903187,0.0,True,29.574686779453845,,,0.15,360,0.6
